timestamp,selected_strategy,generation_cost,reserve_cost,startup_shutdown_cost,load_shedding_penalty,total_cost
2024-09-02 00:00:00,Robust_UC,28.292162775885764,5.927879252646141,99662.0,2399.8517487068566,102096.0717907354
2024-09-02 01:00:00,Robust_UC,35.08738446403348,5.603396490452526,0.0,2240.208697484575,2280.899478439061
2024-09-02 02:00:00,Robust_UC,36.23756206303662,5.293733290720909,0.0,2265.6857444735297,2307.2170398272874
2024-09-02 03:00:00,Robust_UC,37.193847948919455,5.036271706060146,0.0,1833.625943959656,1875.8560636146358
2024-09-02 04:00:00,Robust_UC,37.868812900521135,4.854550372936616,0.0,1795.8299905646666,1838.5533538381244
2024-09-02 05:00:00,Robust_UC,38.36550543523203,4.720825459745222,0.0,1885.1102957183002,1928.1966266132774
2024-09-02 06:00:00,Robust_UC,38.13651671578661,4.782476268826681,0.0,1508.6873848605985,1551.606377845212
2024-09-02 07:00:00,Robust_UC,37.018824934373164,5.083393286899531,0.0,1714.9661638627354,1757.0683820840081
2024-09-02 08:00:00,Robust_UC,37.196830793086626,5.035468632630523,0.0,1932.479810048993,1974.7121094747101
2024-09-02 09:00:00,Robust_UC,36.25128809258309,5.29003782122763,0.0,2220.9564354315344,2262.497761345345
2024-09-02 10:00:00,Robust_UC,35.12709661484975,5.592704757540454,0.0,2347.791642620709,2388.511443993099
2024-09-02 11:00:00,Robust_UC,34.30229544702266,5.814766610416976,0.0,2772.708306082199,2812.825368139639
2024-09-02 12:00:00,Robust_UC,34.65565925609508,5.7196302002820945,0.0,2731.6652278043002,2772.0405172606775
2024-09-02 13:00:00,Robust_UC,35.261741772644534,5.556454138134164,0.0,2641.751710441358,2682.5699063521365
2024-09-02 14:00:00,Robust_UC,35.1384131438758,5.589657999725745,0.0,2676.230313987986,2716.9583851315874
2024-09-02 15:00:00,Robust_UC,34.89688929614199,5.654683651038694,0.0,2717.3221986617064,2757.873771608887
2024-09-02 16:00:00,Robust_UC,34.52104619614542,5.75587217796085,0.0,2811.7069709900716,2851.9838893641777
2024-09-02 17:00:00,Robust_UC,33.44993702366991,6.044247724396563,0.0,2994.7626260053507,3034.256810753417
2024-09-02 18:00:00,Robust_UC,32.39663757599651,6.327828344924017,0.0,3124.598454695379,3163.3229206162996
2024-09-02 19:00:00,SCUC,31.383751110587234,6.6005285471495885,0.0,2706.4564887837814,2744.4407684415182
2024-09-02 20:00:00,SCUC,32.079212530408505,6.4132889341207555,0.0,2602.8203171809664,2641.3128186454956
2024-09-02 21:00:00,SCUC,32.727636585449794,6.238713226994278,0.0,2503.8771175734423,2542.8434673858865
2024-09-02 22:00:00,SCUC,33.43088892194117,6.049376059477499,0.0,2379.6286369547865,2419.1089019362053
2024-09-02 23:00:00,SCUC,34.94322506428563,5.642208636538474,0.0,1852.6015097672282,1893.1869434680523
