scenario_id,scenario_cost,is_worst,total_ls
0,5938.79130329995,1,4.686122535443442
1,4400.824732157923,0,3.644886306629331
2,5398.096184310945,0,4.391274438531282
3,5601.142725732259,0,4.50664179161157
4,2976.3797360269723,0,2.603650077815227
