timestamp,load_bus,priority_level,priority_weight,demand,shed,served
2024-09-01 00:00:00,1,1,1.0,0.14942468333024456,0.0,0.14942468333024456
2024-09-01 00:00:00,3,1,1.0,0.14942468333024456,0.0,0.14942468333024456
2024-09-01 00:00:00,4,1,1.0,0.14942468333024456,0.0070250187325358905,0.14239966459770867
2024-09-01 00:00:00,5,1,1.0,0.14942468333024456,0.005572504485773543,0.14385217884447102
2024-09-01 00:00:00,6,2,0.5,0.09508843484651926,0.08988218129244624,0.005206253554073018
2024-09-01 00:00:00,7,2,0.5,0.09508843484651926,0.09373233659021278,0.001356098256306476
2024-09-01 00:00:00,8,2,0.5,0.09508843484651926,0.08955553880218045,0.005532896044338806
2024-09-01 00:00:00,9,2,0.5,0.09508843484651926,0.0830168924815446,0.012071542364974652
2024-09-01 00:00:00,10,3,0.2,0.06792031060465661,0.07078475659862819,-0.002864445993971579
2024-09-01 00:00:00,11,3,0.2,0.06792031060465661,0.07078475659862819,-0.002864445993971579
2024-09-01 00:00:00,12,3,0.2,0.06792031060465661,0.07078475659862819,-0.002864445993971579
2024-09-01 00:00:00,13,3,0.2,0.06792031060465661,0.07078475659862819,-0.002864445993971579
2024-09-01 00:00:00,14,3,0.2,0.06792031060465661,0.07078475659862819,-0.002864445993971579
2024-09-01 01:00:00,1,1,1.0,0.14093984639253834,0.0,0.14093984639253834
2024-09-01 01:00:00,3,1,1.0,0.14093984639253834,0.0,0.14093984639253834
2024-09-01 01:00:00,4,1,1.0,0.14093984639253834,0.0,0.14093984639253834
2024-09-01 01:00:00,5,1,1.0,0.14093984639253834,0.0,0.14093984639253834
2024-09-01 01:00:00,6,2,0.5,0.08968899315888804,0.06208052678707497,0.027608466371813065
2024-09-01 01:00:00,7,2,0.5,0.08968899315888804,0.026898439505871626,0.06279055365301642
2024-09-01 01:00:00,8,2,0.5,0.08968899315888804,0.04395332792111317,0.045735665237774864
2024-09-01 01:00:00,9,2,0.5,0.08968899315888804,0.049446275529580405,0.04024271762930763
2024-09-01 01:00:00,10,3,0.2,0.06406356654206288,0.06082601335966602,0.0032375531823968656
2024-09-01 01:00:00,11,3,0.2,0.06406356654206288,0.06082601335966602,0.0032375531823968656
2024-09-01 01:00:00,12,3,0.2,0.06406356654206288,0.06082601335966602,0.0032375531823968656
2024-09-01 01:00:00,13,3,0.2,0.06406356654206288,0.06082601335966602,0.0032375531823968656
2024-09-01 01:00:00,14,3,0.2,0.06406356654206288,0.06082601335966602,0.0032375531823968656
2024-09-01 02:00:00,1,1,1.0,0.13273551120544272,0.0,0.13273551120544272
2024-09-01 02:00:00,3,1,1.0,0.13273551120544272,0.0,0.13273551120544272
2024-09-01 02:00:00,4,1,1.0,0.13273551120544272,0.0,0.13273551120544272
2024-09-01 02:00:00,5,1,1.0,0.13273551120544272,0.0,0.13273551120544272
2024-09-01 02:00:00,6,2,0.5,0.08446805258528174,0.07768652642162766,0.006781526163654086
2024-09-01 02:00:00,7,2,0.5,0.08446805258528174,0.04195391804796586,0.04251413453731588
2024-09-01 02:00:00,8,2,0.5,0.08446805258528174,0.04590886594345071,0.038559186641831035
2024-09-01 02:00:00,9,2,0.5,0.08446805258528174,0.016646444313474448,0.06782160827180729
2024-09-01 02:00:00,10,3,0.2,0.06033432327520124,0.06081331787236598,-0.00047899459716473775
2024-09-01 02:00:00,11,3,0.2,0.06033432327520124,0.06081331787236598,-0.00047899459716473775
2024-09-01 02:00:00,12,3,0.2,0.06033432327520124,0.06081331787236598,-0.00047899459716473775
2024-09-01 02:00:00,13,3,0.2,0.06033432327520124,0.06081331787236598,-0.00047899459716473775
2024-09-01 02:00:00,14,3,0.2,0.06033432327520124,0.06081331787236598,-0.00047899459716473775
2024-09-01 03:00:00,1,1,1.0,0.12592484676310228,0.0,0.12592484676310228
2024-09-01 03:00:00,3,1,1.0,0.12592484676310228,0.0,0.12592484676310228
2024-09-01 03:00:00,4,1,1.0,0.12592484676310228,0.0,0.12592484676310228
2024-09-01 03:00:00,5,1,1.0,0.12592484676310228,0.0,0.12592484676310228
2024-09-01 03:00:00,6,2,0.5,0.08013399339470145,0.07779109561692946,0.002342897777771996
2024-09-01 03:00:00,7,2,0.5,0.08013399339470145,0.016499896675146765,0.0636340967195547
2024-09-01 03:00:00,8,2,0.5,0.08013399339470145,0.042426728361636315,0.03770726503306514
2024-09-01 03:00:00,9,2,0.5,0.08013399339470145,0.014856758469543027,0.06527723492515843
2024-09-01 03:00:00,10,3,0.2,0.05723856671050103,0.058686840399917145,-0.0014482736894161144
2024-09-01 03:00:00,11,3,0.2,0.05723856671050103,0.058686840399917145,-0.0014482736894161144
2024-09-01 03:00:00,12,3,0.2,0.05723856671050103,0.058686840399917145,-0.0014482736894161144
2024-09-01 03:00:00,13,3,0.2,0.05723856671050103,0.058686840399917145,-0.0014482736894161144
2024-09-01 03:00:00,14,3,0.2,0.05723856671050103,0.058686840399917145,-0.0014482736894161144
2024-09-01 04:00:00,1,1,1.0,0.12086092965135033,0.0,0.12086092965135033
2024-09-01 04:00:00,3,1,1.0,0.12086092965135033,0.0,0.12086092965135033
2024-09-01 04:00:00,4,1,1.0,0.12086092965135033,0.0,0.12086092965135033
2024-09-01 04:00:00,5,1,1.0,0.12086092965135033,0.0,0.12086092965135033
2024-09-01 04:00:00,6,2,0.5,0.07691150068722294,0.01706430394445413,0.05984719674276881
2024-09-01 04:00:00,7,2,0.5,0.07691150068722294,0.03375453564550829,0.04315696504171465
2024-09-01 04:00:00,8,2,0.5,0.07691150068722294,0.04189304490118316,0.03501845578603978
2024-09-01 04:00:00,9,2,0.5,0.07691150068722294,0.030174086121483992,0.04673741456573895
2024-09-01 04:00:00,10,3,0.2,0.05493678620515924,0.05529992876962052,-0.0003631425644612801
2024-09-01 04:00:00,11,3,0.2,0.05493678620515924,0.056078489552521794,-0.0011417033473625562
2024-09-01 04:00:00,12,3,0.2,0.05493678620515924,0.056078489552521794,-0.0011417033473625562
2024-09-01 04:00:00,13,3,0.2,0.05493678620515924,0.047985306643559836,0.006951479561599402
2024-09-01 04:00:00,14,3,0.2,0.05493678620515924,0.056078489552521794,-0.0011417033473625562
2024-09-01 05:00:00,1,1,1.0,0.11730308416625795,0.0,0.11730308416625795
2024-09-01 05:00:00,3,1,1.0,0.11730308416625795,0.0,0.11730308416625795
2024-09-01 05:00:00,4,1,1.0,0.11730308416625795,0.0,0.11730308416625795
2024-09-01 05:00:00,5,1,1.0,0.11730308416625795,0.0,0.11730308416625795
2024-09-01 05:00:00,6,2,0.5,0.07464741719670961,0.02082650651580441,0.05382091068090521
2024-09-01 05:00:00,7,2,0.5,0.07464741719670961,0.014551116632336002,0.06009630056437361
2024-09-01 05:00:00,8,2,0.5,0.07464741719670961,0.022744031088152383,0.05190338610855723
2024-09-01 05:00:00,9,2,0.5,0.07464741719670961,0.006798861643240087,0.06784855555346953
2024-09-01 05:00:00,10,3,0.2,0.05331958371193544,0.05178833838319693,0.0015312453287385092
2024-09-01 05:00:00,11,3,0.2,0.05331958371193544,0.04395992784265055,0.009359655869284889
2024-09-01 05:00:00,12,3,0.2,0.05331958371193544,0.05178833838319693,0.0015312453287385092
2024-09-01 05:00:00,13,3,0.2,0.05331958371193544,0.051788338383196936,0.0015312453287385022
2024-09-01 05:00:00,14,3,0.2,0.05331958371193544,0.046932283126696436,0.006387300585239002
