model,total_cost,generation_cost,reserve_cost,startup_shutdown_cost,load_shedding_penalty,EENS,priority_index,rapidity,reliability_score,total_demand,solve_success,fallback_relaxation,solver_status
SCUC,1672.9119551846684,184.684067854892,36.44326800849325,12.0,1439.7846193212831,1.291713435144217,0.915008396854679,0.22313016014842982,0.8139163717994039,6.941574858760621,True,False,0
Stochastic_UC,1987.9321189531308,400.4567760237783,36.44326800849325,12.0,1539.0320749208593,1.3591683866800137,0.9081468926661165,0.049787068367863944,0.8041988432978326,6.941574858760621,True,False,0
Robust_UC,8659.898032889301,409.65940942796476,36.44326800849325,12.0,4554.410898877409,3.824442711537203,0.7522625278584271,0.049787068367863944,0.4490525868621065,6.941574858760621,True,False,0
Contextual_Adaptive,4797.30345714007,194.44929025416795,36.44326800849325,12.0,4554.410898877408,3.8244427115372024,0.7522625278584271,0.049787068367863944,0.4490525868621065,6.941574858760621,True,False,contextual_selection
