epoch,train_mse,val_mse,warmup_scale,train_gate_reg,train_attn_entropy,train_rank_loss,train_fp_loss
1.0,0.27166488766670227,0.08997326344251633,0.01,0.00865640863776207,0.9999700784683228,0.0,0.0
2.0,0.0806163027882576,0.027283627539873123,0.02,0.004610343836247921,0.9999579787254333,0.0,0.0
3.0,0.040207602083683014,0.009316440671682358,0.03,0.0029113395139575005,0.9999827742576599,0.0,0.0
4.0,0.03297196701169014,0.003910862375050783,0.04,0.0016338808927685022,0.9999744296073914,0.0,0.0
5.0,0.032738447189331055,0.0020864298567175865,0.05,0.0008722503553144634,0.9999743103981018,0.0,0.0
6.0,0.03355492278933525,0.0013881201157346368,0.06,0.00045134490937925875,0.9999588131904602,0.0,0.0
7.0,0.03423979878425598,0.0011248043738305569,0.07,0.0002335763128940016,0.9999890327453613,0.0,0.0
8.0,0.034581515938043594,0.001097352709621191,0.08,0.00012575890286825597,0.9999772906303406,0.0,0.0
9.0,0.03455503284931183,0.0012909109937027097,0.09,7.315671973628923e-05,0.9999848008155823,0.0,0.0
10.0,0.034284304827451706,0.0018312715692445636,0.1,4.763211472891271e-05,0.9999960064888,0.0,0.0
11.0,0.03387022390961647,0.0030678571201860905,0.11,3.5722609027288854e-05,0.9999862909317017,0.0,0.0
12.0,0.03309410810470581,0.0056898947805166245,0.12,3.133623977191746e-05,0.9999867081642151,0.0,0.0
13.0,0.0326944962143898,0.00954617839306593,0.13,3.165003363392316e-05,0.9999963641166687,0.0,0.0
14.0,0.03310307860374451,0.0104501498863101,0.14,3.1863903132034466e-05,0.9999986290931702,0.0,0.0
15.0,0.03318142518401146,0.00826271902769804,0.15,2.3073576812748797e-05,0.9999887347221375,0.0,0.0
16.0,0.03250038996338844,0.005856780335307121,0.16,1.3236967788543552e-05,0.9999836087226868,0.0,0.0
17.0,0.03206884115934372,0.00439913896843791,0.17,7.1927288445294835e-06,0.9999920725822449,0.0,0.0
18.0,0.03208937123417854,0.003756811609491706,0.18,4.221548806526698e-06,0.9999991655349731,0.0,0.0
19.0,0.032196298241615295,0.003698827465996146,0.19,2.8145411761215655e-06,0.9999935030937195,0.0,0.0
20.0,0.03209448978304863,0.004153785295784473,0.2,2.1416612980829086e-06,0.9999904036521912,0.0,0.0
21.0,0.03181594982743263,0.005193436983972788,0.21,1.8447035472490825e-06,0.9999931454658508,0.0,0.0
