wind_renewables_ninja_wind_electricity,pv_renewables_ninja_pv_electricity
0.13975155279503107,0.032418952618453865
0.13768115942028986,0.09226932668329176
0.11490683229813665,0.15211970074812967
0.08799171842650104,0.199501246882793
0.061076604554865424,0.24438902743142144
0.040372670807453416,0.2718204488778055
0.035196687370600416,0.29800498753117205
0.037267080745341616,0.23192019950124687
0.036231884057971016,0.11471321695760597
0.036231884057971016,0.007481296758104738
0.039337474120082816,0.0
0.038302277432712216,0.0
0.036231884057971016,0.0
0.037267080745341616,0.0
0.04244306418219462,0.0
0.04865424430641822,0.0
0.056935817805383024,0.0
0.06314699792960662,0.0
0.06832298136645963,0.0
0.07142857142857144,0.0
0.08385093167701864,0.0
0.09627329192546584,0.0
0.09627329192546584,0.0
0.08281573498964803,0.0199501246882793
0.046583850931677016,0.1745635910224439
0.05900621118012423,0.341645885286783
0.062111801242236024,0.4538653366583541
0.057971014492753624,0.5635910224438903
0.053830227743271224,0.6446384039900249
0.054865424430641824,0.6795511221945137
0.054865424430641824,0.5448877805486284
0.041407867494824016,0.3079800498753117
0.019668737060041408,0.11596009975062344
0.010351966873706004,0.0024937655860349127
0.011387163561076604,0.0
0.06314699792960662,0.0
0.17805383022774326,0.0
0.36438923395445133,0.0
0.629399585921325,0.0
0.6977225672877847,0.0
0.5921325051759834,0.0
0.4937888198757764,0.0
0.38716356107660455,0.0
0.412008281573499,0.0
0.3985507246376812,0.0
0.412008281573499,0.0
0.463768115942029,0.0
0.4699792960662526,0.03117206982543641
0.6821946169772257,0.24812967581047382
0.7691511387163561,0.49875311720698257
0.7525879917184265,0.6845386533665836
0.7298136645962733,0.8079800498753117
0.6604554865424431,0.8491271820448878
0.6097308488612836,0.800498753117207
0.6066252587991718,0.6658354114713217
0.6024844720496895,0.48628428927680795
0.5952380952380952,0.2219451371571072
0.6118012422360248,0.018703241895261843
0.6583850931677019,0.0
0.6262939958592133,0.0
0.5693581780538303,0.0
0.4699792960662526,0.0
0.43167701863354035,0.0
0.3995859213250518,0.0
0.38819875776397517,0.0
0.39337474120082816,0.0
0.37577639751552794,0.0
0.33540372670807456,0.0
0.29089026915113875,0.0
0.2732919254658385,0.0
0.26293995859213254,0.0
0.2101449275362319,0.05860349127182045
0.09523809523809523,0.3341645885286783
0.14182194616977228,0.5822942643391521
0.09109730848861283,0.7506234413965086
0.014492753623188406,0.8428927680798005
0.0,0.8678304239401495
0.0,0.8254364089775561
0.0,0.7069825436408976
0.0,0.5236907730673316
0.0,0.270573566084788
0.0,0.03366583541147132
0.002070393374741201,0.0
0.017598343685300208,0.0
0.054865424430641824,0.0
0.08385093167701864,0.0
0.07039337474120083,0.0
0.046583850931677016,0.0
0.025879917184265012,0.0
0.010351966873706004,0.0
0.006211180124223603,0.0
0.02173913043478261,0.0
0.046583850931677016,0.0
0.057971014492753624,0.0
0.061076604554865424,0.0
0.061076604554865424,0.017456359102244388
0.02484472049689441,0.16334164588528677
0.008281573498964804,0.35411471321695753
0.002070393374741201,0.5498753117206983
0.0,0.699501246882793
0.0,0.7880299251870324
0.0,0.7655860349127181
0.0010351966873706005,0.6620947630922693
0.0010351966873706005,0.46259351620947625
0.0010351966873706005,0.19451371571072318
0.002070393374741201,0.018703241895261843
0.007246376811594203,0.0
0.02173913043478261,0.0
0.032091097308488616,0.0
0.027950310559006212,0.0
0.013457556935817806,0.0
0.004140786749482402,0.0
0.0010351966873706005,0.0
0.0,0.0
0.002070393374741201,0.0
0.014492753623188406,0.0
0.032091097308488616,0.0
0.045548654244306416,0.0
0.062111801242236024,0.0
0.08074534161490683,0.043640897755610975
0.035196687370600416,0.2793017456359102
0.015527950310559006,0.5124688279301745
0.005175983436853002,0.6770573566084788
0.0010351966873706005,0.7581047381546134
0.0,0.7780548628428927
0.0,0.724438902743142
0.002070393374741201,0.6022443890274314
0.009316770186335404,0.40399002493765584
0.031055900621118012,0.14089775561097256
0.11594202898550725,0.00997506234413965
0.27639751552795033,0.0
0.35921325051759834,0.0
0.3426501035196688,0.0
0.3105590062111801,0.0
0.28778467908902694,0.0
0.2691511387163561,0.0
0.2619047619047619,0.0
0.2691511387163561,0.0
0.2867494824016564,0.0
0.29089026915113875,0.0
0.2784679089026915,0.0
0.2546583850931677,0.0
0.22153209109730848,0.0
0.1739130434782609,0.02743142144638404
0.10455486542443065,0.22693266832917705
0.14596273291925466,0.5024937655860349
0.09834368530020704,0.6882793017456359
0.04347826086956522,0.7593516209476309
0.014492753623188406,0.786783042394015
0.0031055900621118015,0.7418952618453865
0.0010351966873706005,0.6184538653366584
0.002070393374741201,0.44014962593516205
0.007246376811594203,0.20448877805486285
0.040372670807453416,0.017456359102244388
0.10351966873706005,0.0
0.13561076604554867,0.0
0.13457556935817805,0.0
0.11076604554865424,0.0
0.07867494824016563,0.0
