scenario,expected_fail_lines,probability
S1,4,0.071333
S2,3,0.068
S3,5,0.066667
S4,6,0.066667
S5,2,0.062667
S6,9,0.059
S7,8,0.058333
S8,7,0.054333
S9,10,0.052333
S10,11,0.047667
S11,1,0.046333
S12,12,0.045
S13,14,0.034333
S14,13,0.031667
S15,0,0.027
S16,15,0.026333
S17,16,0.023
S18,17,0.021333
S19,19,0.017667
S20,18,0.015667
S21,21,0.015333
S22,20,0.014667
S23,22,0.013
S24,24,0.009667
S25,25,0.009
S26,23,0.007333
S27,26,0.005
S28,27,0.005
S29,28,0.004667
S30,29,0.003667
S31,30,0.002667
S32,32,0.002667
S33,35,0.002333
S34,33,0.002
S35,31,0.001667
S36,36,0.001333
S37,37,0.001
S38,34,0.000667
S39,39,0.000667
S40,38,0.000333
S41,40,0.000333
S42,41,0.000333
S43,42,0.000333
S44,43,0.000333
S45,44,0.000333
S46,45,0.000333
