,val_mae,val_mae,horizon_mae,horizon_mae,best_val_mse,best_val_mse,high_risk_mae,high_risk_mae,precision_at_5,precision_at_5,precision_at_10,precision_at_10,ndcg_at_10,ndcg_at_10,spearman_corr,spearman_corr
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
variant,,,,,,,,,,,,,,,,
metapath_local,0.013925901054111836,0.0030128215712482056,0.0069183172940694,0.006988280854970514,0.0013266196668458,0.0010037713580260332,0.06928656388900047,0.03993261604035423,1.0,0.0,0.7333333333333334,0.057735026918962644,0.8146049693346343,0.045400220382172,0.5278491492196808,0.09749793245989835
metapath_local_riskattn,0.019662913806970467,0.0008986068191587106,0.016042069580664568,0.0014267232785575533,0.0005897234271590667,8.64710625073807e-05,0.03606232516643957,0.002622424412879946,1.0,0.0,0.6333333333333333,0.05773502691896258,0.7451805424572956,0.03963806071868765,0.5603679205557408,0.05659425550731052
mlp,0.018273827956347834,0.008309869591994548,0.0121698385723995,0.008962154420555021,0.0012151215535898667,7.212996740212667e-05,0.06454701810978193,0.0050416267409293496,1.0,0.0,0.6999999999999998,0.0,0.7927062560130986,0.001520414553620128,0.5563443194757779,0.028786389476725578
