line_id,input_p_mean,empirical_p_mean,absolute_error_mean
L4,0.23708905533426775,0.9166666666666666,0.6795776113323989
L10,0.23057306088557247,0.9166666666666666,0.6860936057810941
L0,0.22588262392293265,0.9166666666666666,0.690784042743734
L11,0.22267444223048452,0.9166666666666666,0.6939922244361821
L12,0.19804562086074615,0.9166666666666666,0.7186210458059205
L3,0.18594897993653225,0.9166666666666666,0.7307176867301344
L7,0.17194360651304297,0.9166666666666666,0.7447230601536237
L8,0.17042520047796514,0.9166666666666666,0.7462414661887015
L13,0.16159335734907007,0.9166666666666666,0.7550733093175965
L14,0.15268818920420027,0.9166666666666666,0.7639784774624664
L1,0.15031495716680085,0.9166666666666666,0.7663517094998658
L5,0.1471448668051216,0.9166666666666666,0.769521799861545
L2,0.14468188554687703,0.9166666666666666,0.7719847811197896
L6,0.142912453127629,0.9166666666666666,0.7737542135390376
L9,0.13300683661249002,0.9166666666666666,0.7836598300541766
