variant,seed,val_mae,horizon_mae,best_val_mse,high_risk_mae,precision_at_5,precision_at_10,ndcg_at_10,spearman_corr,best_epoch
metapath_local,42,0.0172268013231406,0.014345937967697,0.000562198809348,0.0369136656227205,1.0,0.7,0.7859162856301584,0.421664262106381,134
metapath_local,43,0.0113240640999374,0.005935607038628,0.0009543087217025,0.0570369370409652,1.0,0.7,0.7909506325094737,0.5485467761306583,45
metapath_local,44,0.0132268377392575,0.0004734068758832,0.0024633514694869,0.1139090890033157,1.0,0.8,0.866947989864271,0.6133364094220031,25
metapath_local_riskattn,42,0.0190367709637427,0.0144006808809763,0.0005529026384465,0.0340410564476735,1.0,0.6,0.7222954974312066,0.6144852044355339,176
metapath_local_riskattn,43,0.0192594288314009,0.0167406096592786,0.0005277571035549,0.0351202781959144,1.0,0.7,0.7909506325094737,0.5015854792605943,180
metapath_local_riskattn,44,0.0206925416257678,0.0169849182017388,0.0006885105394758,0.0390256408557308,1.0,0.6,0.7222954974312066,0.5650330779710944,180
metapath_local_riskattn_resid,42,0.0110132524027281,0.005246581720947,0.0010630441829562,0.0632933655881688,1.0,0.6,0.7222954974312066,0.4189575960884606,54
metapath_local_riskattn_resid,43,0.0108429233395844,0.0049810698298668,0.0009679801296442,0.0602317065929498,1.0,0.7,0.800693766409882,0.6847387575634425,51
metapath_local_riskattn_resid,44,0.0110592154574197,0.0045851023832887,0.0012077337596565,0.0673458348621979,1.0,0.7,0.7909506325094737,0.5534339658817485,52
mlp,42,0.0233017313518358,0.0177749817160095,0.0011319138575345,0.0591968076766724,1.0,0.7,0.793584067764911,0.5891644794190257,20
mlp,43,0.0086821595914727,0.001833543511336,0.0012599021429196,0.0692094422327879,1.0,0.7,0.793584067764911,0.5353752873130844,30
mlp,44,0.022837592925735,0.016900990489853,0.0012535486603155,0.0652348044198855,1.0,0.7,0.7909506325094737,0.5444931916952236,19
