scenario,scenario_id,timestamp,failed_lines,outage_line_count,disconnected_load_count,probability,method
S1,0,2024-09-01 17:00:00,L0|L1|L10|L11|L12|L13|L14|L2|L3|L4|L5|L6|L7|L8|L9,15,4,0.00390625,wang_mc
S1,0,2024-09-01 18:00:00,L0|L1|L10|L11|L12|L13|L14|L2|L3|L4|L5|L6|L7|L8|L9,15,4,0.00390625,wang_mc
S1,0,2024-09-01 19:00:00,L0|L1|L10|L11|L12|L13|L14|L2|L3|L4|L5|L6|L7|L8|L9,15,4,0.00390625,wang_mc
S1,0,2024-09-01 20:00:00,L0|L1|L10|L11|L12|L13|L14|L2|L3|L4|L5|L6|L7|L8|L9,15,4,0.00390625,wang_mc
S1,0,2024-09-01 21:00:00,L0|L1|L10|L11|L12|L13|L14|L2|L3|L4|L5|L6|L7|L8|L9,15,4,0.00390625,wang_mc
S1,0,2024-09-01 22:00:00,L0|L1|L10|L11|L12|L13|L14|L2|L3|L4|L5|L6|L7|L8|L9,15,4,0.00390625,wang_mc
S1,0,2024-09-01 23:00:00,L0|L1|L10|L11|L12|L13|L14|L2|L3|L4|L5|L6|L7|L8|L9,15,4,0.00390625,wang_mc
S1,0,2024-09-02 00:00:00,L0|L1|L10|L11|L12|L13|L14|L2|L3|L4|L5|L6|L7|L8|L9,15,4,0.00390625,wang_mc
S1,0,2024-09-02 01:00:00,L0|L1|L10|L11|L12|L13|L14|L2|L3|L4|L5|L6|L7|L8|L9,15,4,0.00390625,wang_mc
S1,0,2024-09-02 02:00:00,L0|L1|L10|L11|L12|L13|L14|L2|L3|L4|L5|L6|L7|L8|L9,15,4,0.00390625,wang_mc
S1,0,2024-09-02 03:00:00,L0|L1|L10|L11|L12|L13|L14|L2|L3|L4|L5|L6|L7|L8|L9,15,4,0.00390625,wang_mc
S1,0,2024-09-02 04:00:00,L0|L1|L10|L11|L12|L13|L14|L2|L3|L4|L5|L6|L7|L8|L9,15,4,0.00390625,wang_mc
S1,0,2024-09-02 05:00:00,L0|L1|L10|L11|L12|L13|L14|L2|L3|L4|L5|L6|L7|L8|L9,15,4,0.00390625,wang_mc
S1,0,2024-09-02 06:00:00,L0|L1|L10|L11|L12|L13|L14|L2|L3|L4|L5|L6|L7|L8|L9,15,4,0.00390625,wang_mc
S1,0,2024-09-02 07:00:00,L0|L1|L10|L11|L12|L13|L14|L2|L3|L4|L5|L6|L7|L8|L9,15,4,0.00390625,wang_mc
S1,0,2024-09-02 08:00:00,L0|L1|L10|L11|L12|L13|L14|L2|L3|L4|L5|L6|L7|L8|L9,15,4,0.00390625,wang_mc
S1,0,2024-09-02 09:00:00,L0|L1|L10|L11|L12|L13|L14|L2|L3|L4|L5|L6|L7|L8|L9,15,4,0.00390625,wang_mc
S1,0,2024-09-02 10:00:00,L0|L1|L10|L11|L12|L13|L14|L2|L3|L4|L5|L6|L7|L8|L9,15,4,0.00390625,wang_mc
S1,0,2024-09-02 11:00:00,L0|L1|L10|L11|L12|L13|L14|L2|L3|L4|L5|L6|L7|L8|L9,15,4,0.00390625,wang_mc
S1,0,2024-09-02 12:00:00,L0|L1|L10|L11|L12|L13|L14|L2|L3|L4|L5|L6|L7|L8|L9,15,4,0.00390625,wang_mc
