scenario,expected_fail_lines,probability
S1,0,0.323333
S2,1,0.285667
S3,2,0.181
S4,3,0.108667
S5,4,0.058
S6,5,0.027
S7,6,0.009667
S8,7,0.005667
S9,8,0.000667
S10,10,0.000333
