scenario,expected_fail_lines,probability
S1,0,0.252
S2,1,0.25
S3,2,0.182
S4,3,0.121333
S5,4,0.084
S6,5,0.052667
S7,6,0.029
S8,7,0.015333
S9,8,0.008667
S10,9,0.003667
S11,10,0.001
S12,11,0.000333
