scenario,expected_fail_lines,probability
S1,1,0.243333
S2,0,0.231333
S3,2,0.190667
S4,3,0.143
S5,4,0.081333
S6,5,0.051
S7,6,0.033
S8,7,0.015333
S9,8,0.005333
S10,9,0.003333
S11,10,0.001667
S12,11,0.000667
