scenario,expected_fail_lines,probability
S1,0,0.266333
S2,1,0.231667
S3,2,0.190667
S4,3,0.116
S5,4,0.085667
S6,5,0.053333
S7,6,0.029667
S8,7,0.015333
S9,8,0.005
S10,9,0.005
S11,10,0.001333
