scenario,scenario_id,timestamp,failed_lines,outage_line_count,disconnected_load_count,probability,method
S1,0,2024-09-02 15:00:00,L102|L106|L108|L147|L153|L158|L159|L185|L80|L81|L93|L94|L96|L98,14,0,0.00390625,c3po_ref
S1,0,2024-09-02 16:00:00,L100|L101|L106|L107|L108|L140|L151|L17|L3|L99,10,0,0.00390625,c3po_ref
S1,0,2024-09-02 17:00:00,L105|L106|L150|L185|L5|L97,6,0,0.00390625,c3po_ref
S1,0,2024-09-02 18:00:00,L108|L147|L150|L77,4,0,0.00390625,c3po_ref
S1,0,2024-09-02 19:00:00,L102|L112|L130,3,0,0.00390625,c3po_ref
S1,0,2024-09-02 20:00:00,L112,1,0,0.00390625,c3po_ref
S1,0,2024-09-02 21:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-02 22:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-02 23:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-03 00:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-03 01:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-03 02:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-03 03:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-03 04:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-03 05:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-03 06:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-03 07:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-03 08:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-03 09:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-03 10:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-03 11:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-03 12:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-03 13:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-03 14:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-03 15:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-03 16:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-03 17:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-03 18:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-03 19:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-03 20:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-03 21:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-03 22:00:00,,0,0,0.00390625,c3po_ref
S1,0,2024-09-03 23:00:00,,0,0,0.00390625,c3po_ref
S2,1,2024-09-01 00:00:00,,0,0,0.00390625,c3po_ref
S2,1,2024-09-01 01:00:00,,0,0,0.00390625,c3po_ref
S2,1,2024-09-01 02:00:00,,0,0,0.00390625,c3po_ref
S2,1,2024-09-01 03:00:00,,0,0,0.00390625,c3po_ref
S2,1,2024-09-01 04:00:00,,0,0,0.00390625,c3po_ref
S2,1,2024-09-01 05:00:00,,0,0,0.00390625,c3po_ref
S2,1,2024-09-01 06:00:00,,0,0,0.00390625,c3po_ref
S2,1,2024-09-01 07:00:00,,0,0,0.00390625,c3po_ref
S2,1,2024-09-01 08:00:00,,0,0,0.00390625,c3po_ref
S2,1,2024-09-01 09:00:00,,0,0,0.00390625,c3po_ref
