category,severity,timestamp,entity,rule,value,threshold,detail
load,critical,2024-09-01 03:00:00,bus:12,served>=0,-0.0114477133421002,0.0,Negative served load.
load,critical,2024-09-01 03:00:00,bus:13,shed<=demand,0.0686862800526012,0.057238566710501,Load shedding exceeds demand.
load,critical,2024-09-01 03:00:00,bus:13,served>=0,-0.0114477133421002,0.0,Negative served load.
load,critical,2024-09-01 03:00:00,bus:14,shed<=demand,0.0686862800526012,0.057238566710501,Load shedding exceeds demand.
load,critical,2024-09-01 03:00:00,bus:14,served>=0,-0.0114477133421002,0.0,Negative served load.
load,critical,2024-09-01 04:00:00,bus:7,shed<=demand,0.0922938008246675,0.0769115006872229,Load shedding exceeds demand.
load,critical,2024-09-01 04:00:00,bus:7,served>=0,-0.0153823001374445,0.0,Negative served load.
load,critical,2024-09-01 04:00:00,bus:9,shed<=demand,0.0922938008246675,0.0769115006872229,Load shedding exceeds demand.
load,critical,2024-09-01 04:00:00,bus:9,served>=0,-0.0153823001374445,0.0,Negative served load.
load,critical,2024-09-01 04:00:00,bus:10,shed<=demand,0.065924143446191,0.0549367862051592,Load shedding exceeds demand.
load,critical,2024-09-01 04:00:00,bus:10,served>=0,-0.0109873572410318,0.0,Negative served load.
load,critical,2024-09-01 04:00:00,bus:11,shed<=demand,0.065924143446191,0.0549367862051592,Load shedding exceeds demand.
load,critical,2024-09-01 04:00:00,bus:11,served>=0,-0.0109873572410318,0.0,Negative served load.
load,critical,2024-09-01 04:00:00,bus:12,shed<=demand,0.065924143446191,0.0549367862051592,Load shedding exceeds demand.
load,critical,2024-09-01 04:00:00,bus:12,served>=0,-0.0109873572410318,0.0,Negative served load.
load,critical,2024-09-01 04:00:00,bus:13,shed<=demand,0.065924143446191,0.0549367862051592,Load shedding exceeds demand.
load,critical,2024-09-01 04:00:00,bus:13,served>=0,-0.0109873572410318,0.0,Negative served load.
load,critical,2024-09-01 04:00:00,bus:14,shed<=demand,0.065924143446191,0.0549367862051592,Load shedding exceeds demand.
load,critical,2024-09-01 04:00:00,bus:14,served>=0,-0.0109873572410318,0.0,Negative served load.
load,critical,2024-09-01 05:00:00,bus:6,shed<=demand,0.0895769006360515,0.0746474171967096,Load shedding exceeds demand.
load,critical,2024-09-01 05:00:00,bus:6,served>=0,-0.0149294834393419,0.0,Negative served load.
load,critical,2024-09-01 05:00:00,bus:7,shed<=demand,0.0895769006360515,0.0746474171967096,Load shedding exceeds demand.
load,critical,2024-09-01 05:00:00,bus:7,served>=0,-0.0149294834393419,0.0,Negative served load.
load,critical,2024-09-01 05:00:00,bus:10,shed<=demand,0.0639835004543225,0.0533195837119354,Load shedding exceeds demand.
load,critical,2024-09-01 05:00:00,bus:10,served>=0,-0.010663916742387,0.0,Negative served load.
load,critical,2024-09-01 05:00:00,bus:11,shed<=demand,0.0639835004543225,0.0533195837119354,Load shedding exceeds demand.
load,critical,2024-09-01 05:00:00,bus:11,served>=0,-0.010663916742387,0.0,Negative served load.
load,critical,2024-09-01 05:00:00,bus:12,shed<=demand,0.0639835004543225,0.0533195837119354,Load shedding exceeds demand.
load,critical,2024-09-01 05:00:00,bus:12,served>=0,-0.010663916742387,0.0,Negative served load.
load,critical,2024-09-01 05:00:00,bus:13,shed<=demand,0.0639835004543225,0.0533195837119354,Load shedding exceeds demand.
load,critical,2024-09-01 05:00:00,bus:13,served>=0,-0.010663916742387,0.0,Negative served load.
load,critical,2024-09-01 05:00:00,bus:14,shed<=demand,0.0639835004543225,0.0533195837119354,Load shedding exceeds demand.
load,critical,2024-09-01 05:00:00,bus:14,served>=0,-0.010663916742387,0.0,Negative served load.
load,critical,2024-09-01 06:00:00,bus:9,shed<=demand,0.0903976131829037,0.0753313443190864,Load shedding exceeds demand.
load,critical,2024-09-01 06:00:00,bus:9,served>=0,-0.0150662688638172,0.0,Negative served load.
load,critical,2024-09-01 06:00:00,bus:10,shed<=demand,0.0645697237020741,0.0538081030850617,Load shedding exceeds demand.
load,critical,2024-09-01 06:00:00,bus:10,served>=0,-0.0107616206170123,0.0,Negative served load.
load,critical,2024-09-01 06:00:00,bus:11,shed<=demand,0.0645697237020741,0.0538081030850617,Load shedding exceeds demand.
load,critical,2024-09-01 06:00:00,bus:11,served>=0,-0.0107616206170123,0.0,Negative served load.
load,critical,2024-09-01 06:00:00,bus:12,shed<=demand,0.0645697237020741,0.0538081030850617,Load shedding exceeds demand.
load,critical,2024-09-01 06:00:00,bus:12,served>=0,-0.0107616206170123,0.0,Negative served load.
load,critical,2024-09-01 06:00:00,bus:13,shed<=demand,0.0645697237020741,0.0538081030850617,Load shedding exceeds demand.
load,critical,2024-09-01 06:00:00,bus:13,served>=0,-0.0107616206170123,0.0,Negative served load.
load,critical,2024-09-01 06:00:00,bus:14,shed<=demand,0.0645697237020741,0.0538081030850617,Load shedding exceeds demand.
load,critical,2024-09-01 06:00:00,bus:14,served>=0,-0.0107616206170123,0.0,Negative served load.
load,critical,2024-09-01 07:00:00,bus:6,shed<=demand,0.0956809084245664,0.0797340903538054,Load shedding exceeds demand.
load,critical,2024-09-01 07:00:00,bus:6,served>=0,-0.015946818070761,0.0,Negative served load.
load,critical,2024-09-01 07:00:00,bus:8,shed<=demand,0.0956809084245664,0.0797340903538054,Load shedding exceeds demand.
load,critical,2024-09-01 07:00:00,bus:8,served>=0,-0.015946818070761,0.0,Negative served load.
load,critical,2024-09-01 07:00:00,bus:10,shed<=demand,0.0683435060175474,0.0569529216812895,Load shedding exceeds demand.
load,critical,2024-09-01 07:00:00,bus:10,served>=0,-0.0113905843362579,0.0,Negative served load.
