timestamp,g1_total_shed,g1_total_served,g2_total_shed,g2_total_served,g1_total_reserve,g2_total_reserve,g1_mean_loading,g2_mean_loading,shed_reduction,served_increase,reserve_increase,mean_loading_reduction
2024-09-01 00:00:00,0.8116171750411857,0.5060368506891522,0.5469608606119893,0.7706931651183485,0.1976481038595507,0.32233210716789984,0.008184121360053306,0.008073402462340926,0.26465631442919635,0.26465631442919635,0.12468400330834914,0.00011071889771237936
2024-09-01 01:00:00,0.673082912146452,0.5697502787695672,0.40401593266978797,0.8388172582462311,0.1864249786374029,0.1864249786374029,0.008811727454511182,0.008811727454511182,0.269066979476664,0.2690669794766639,0.0,0.0
2024-09-01 02:00:00,0.4888254134697671,0.6816604580691364,0.3198893082992037,0.8505965632396999,0.1755728807308355,0.1755728807308355,0.00615792073019442,0.00615792073019442,0.1689361051705634,0.16893610517056346,0.0,0.0
2024-09-01 03:00:00,0.4688516679683813,0.6415765262153381,0.3085836811789785,0.8018445130047409,0.166564229127558,0.166564229127558,0.00845531115895088,0.008347499725573148,0.1602679867894028,0.1602679867894028,0.0,0.00010781143337773233
2024-09-01 04:00:00,0.4751133383620092,0.5906603140180796,0.32129033698756343,0.7444833153925254,0.15986604785701342,0.15986604785701342,0.00903682678946252,0.008931902884962688,0.15382300137444577,0.15382300137444582,0.0,0.00010492390449983076
2024-09-01 05:00:00,0.4195806213259181,0.6148193026856289,0.27028578693249894,0.7641141370790481,0.1551599886017321,0.1551599886017321,0.006671360703389807,0.006671360703389807,0.14929483439341917,0.14929483439341917,0.0,0.0
2024-09-01 06:00:00,0.4001175094992888,0.643759690350909,0.32478616518020237,0.7190910346699954,0.1565815799775297,0.1565815799775297,0.010655122204826265,0.010523856349826726,0.07533134431908645,0.07533134431908639,0.0,0.00013126585499953838
2024-09-01 07:00:00,0.5064678133351811,0.598418867281836,0.3469996326275703,0.7578870479894468,0.1657330020925526,0.1657330020925526,0.00806339390187036,0.00806339390187036,0.15946818070761082,0.15946818070761082,0.0,0.0
2024-09-01 08:00:00,0.4202369579280972,0.6700261126178041,0.3415581796412796,0.7487048909046217,0.1635394605818852,0.1635394605818852,0.010406597924846753,0.010406597924846753,0.07867877828681757,0.07867877828681757,0.0,0.0
2024-09-01 09:00:00,0.6175072699901006,0.5285692435706102,0.36938761241510154,0.7766889011456093,0.17191147703410659,0.17191147703410659,0.007902398309243103,0.007902398309243103,0.2481196575749991,0.2481196575749991,0.0,0.0
2024-09-01 10:00:00,0.6770126180167386,0.5403489304730671,0.5013109512243956,0.7160505972654101,0.1826042322734709,0.1826042322734709,0.008339222962260313,0.008339222962260313,0.175701666792343,0.175701666792343,0.0,0.0
2024-09-01 11:00:00,0.7715437423102411,0.49896570093413095,0.6798574938286885,0.5906519494156836,0.19057641648665571,0.3738279101075851,0.0072315712447866805,0.0072315712447866805,0.0916862484815526,0.0916862484815526,0.18325149362092938,0.0
2024-09-01 12:00:00,0.7820160023013727,0.468370930814307,0.6917818937260144,0.5586050393896653,0.18755803996735199,0.31417864862015016,0.0066771354426774935,0.0066771354426774935,0.0902341085753583,0.09023410857535835,0.12662060865279817,0.0
2024-09-01 13:00:00,0.7732814750349051,0.4398986240901251,0.6857323957166039,0.5274477034084262,0.1819770148687544,0.36698987614362266,0.006270272909752987,0.006270272909752987,0.08754907931830114,0.08754907931830108,0.18501286127486827,0.0
2024-09-01 14:00:00,0.8008473666195883,0.41931380289155473,0.6768658547016899,0.5432953148094533,0.1830241754266715,0.3171635731703204,0.005139057346625267,0.005139057346625267,0.12398151191789841,0.12398151191789852,0.1341393977436489,0.0
2024-09-01 15:00:00,0.8136310994621861,0.4195285356601899,0.8136310994621861,0.4195285356601899,0.1849739452683564,0.3114104605288468,0.0053849912477882,0.0053849912477882,0.0,0.0,0.1264365152604904,0.0
2024-09-01 16:00:00,0.842674315293423,0.413200677586298,0.842674315293423,0.413200677586298,0.1883812489319582,0.1883812489319582,0.017414386636638267,0.017414386636638267,0.0,0.0,0.0,0.0
2024-09-01 17:00:00,0.8002608438023066,0.5206850778864371,0.8002608438023066,0.5206850778864371,0.19814188825331158,0.19814188825331158,0.011507412168725606,0.011507412168725606,0.0,0.0,0.0,0.0
2024-09-01 18:00:00,0.9003844814731929,0.4851211971603564,0.9003844814731929,0.4851211971603564,0.2078258517950324,0.2078258517950324,0.014533420745035714,0.014533420745035714,0.0,0.0,0.0,0.0
2024-09-01 19:00:00,0.9920289855072416,0.45606431658197566,0.9920289855072416,0.45606431658197566,0.2172139953133826,0.2172139953133826,0.0034350621568735532,0.0034350621568735532,0.0,0.0,0.0,0.0
2024-09-01 20:00:00,0.9597437052949619,0.44497253253548924,0.9597437052949619,0.44497253253548924,0.2107074356745677,0.2107074356745677,0.008068755213679973,0.008068755213679973,0.0,0.0,0.0,0.0
2024-09-01 21:00:00,0.9320853847371117,0.43597774510981796,0.9320853847371117,0.43597774510981796,0.20520946947703939,0.20520946947703939,0.015697110688993748,0.015697110688993748,0.0,0.0,0.0,0.0
2024-09-01 22:00:00,0.8927163632472781,0.43319537045137607,0.8927163632472781,0.43319537045137607,0.198886760054798,0.198886760054798,0.01474898669833034,0.01474898669833034,0.0,0.0,0.0,0.0
2024-09-01 23:00:00,0.6827956935838979,0.5521712798748528,0.6827956935838979,0.5521712798748528,0.1852450460188126,0.1852450460188126,0.006914359289472413,0.006914359289472413,0.0,0.0,0.0,0.0
