timestamp,line_id,from_bus,to_bus,flow_mw,limit_mw,loading,overload_flag,selected_strategy,static_risk_prob,static_risk_level,predicted_fail_hour,hourly_risk_prob,effective_risk_prob,flow_abs_mw,stress_score,high_risk_flag,near_overload_flag,action_priority,recommended_action,critical_line_flag
2024-09-01 00:00:00,L3,4,5,0.0792982367266574,3.4362151709492705,0.0230772034874495,0,Robust_UC,0.685386,MEDIUM,5,0.685386023635881,0.685386023635881,0.0792982367266574,0.31966409040373356,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 00:00:00,L4,5,6,-0.0669742630994321,3.4335886719629705,0.0195056162802235,0,Robust_UC,0.687046,HIGH,6,0.6870459190440894,0.6870459190440894,0.0669742630994321,0.318677880080672,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 00:00:00,L13,11,4,0.0506016958825623,3.4367309773767003,0.0147237872896258,0,Robust_UC,0.68506,MEDIUM,5,0.6850598384186416,0.6850598384186416,0.0506016958825623,0.3154475879080661,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 00:00:00,L8,10,11,0.0395893224924954,3.4354288034816856,0.0115238372724747,0,Robust_UC,0.685883,HIGH,5,0.685883354881561,0.685883354881561,0.0395893224924954,0.3142616543759794,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 00:00:00,L12,6,7,-0.0339371429292315,3.43300324749012,0.0098855551488461,0,Robust_UC,0.687416,HIGH,6,0.6874159155625037,0.6874159155625037,0.0339371429292315,0.3141562038939203,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 00:00:00,L9,3,8,-0.043914024640884,3.4387340784108305,0.0127704043521673,0,Robust_UC,0.683794,MEDIUM,5,0.683794270591628,0.683794270591628,0.043914024640884,0.3139235291553213,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 00:00:00,L6,8,9,-0.0374972912379725,3.436276877853165,0.0109121856505926,0,Robust_UC,0.685347,MEDIUM,5,0.685346511486554,0.685346511486554,0.0374972912379725,0.31372092082032216,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 00:00:00,L5,7,8,-0.0266203867672842,3.4351471668433957,0.0077494166841608,0,Robust_UC,0.686061,HIGH,5,0.6860609090843643,0.6860609090843643,0.0266203867672842,0.312503019298462,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 00:00:00,L1,2,3,-0.0173096199962969,3.440684965910896,0.0050308645423206,0,Robust_UC,0.682561,LOW,-,0.6825608627416273,0.6825608627416273,0.0173096199962969,0.30959996507201304,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 00:00:00,L7,9,10,-0.0044601710677719,3.43507280211306,0.0012984211178954,0,Robust_UC,0.686108,HIGH,5,0.686107976467878,0.686107976467878,0.0044601710677719,0.309381208218969,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 00:00:00,L0,1,2,-0.0173096199962969,3.442276687585725,0.0050285382516526,0,Robust_UC,0.681555,LOW,-,0.6815554825914207,0.6815554825914207,0.0173096199962969,0.30914540111718464,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 00:00:00,L2,3,4,0.004319531428429,3.4391438755418253,0.0012559903233907,0,Robust_UC,0.683535,MEDIUM,5,0.6835348506810892,0.6835348506810892,0.004319531428429,0.30820198205130805,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 00:00:00,L14,14,8,0.0,4.6258728538101295,0.0,0,Robust_UC,0.683151,LOW,-,0.6831508349488665,0.6831508349488665,0.0,0.3074178757269899,True,False,low,monitor corridor and pre-position reserve,False
