timestamp,unit_id,bus,u,p_selected,reserve,startup,shutdown
2024-09-01 12:00:00,TH0,0,0.0,0.0,0.0,0.0,0.0
2024-09-01 12:00:00,EMG_1,1,1.0,0.18,-0.0,0.0,0.0
2024-09-01 12:00:00,EMG_2,3,1.0,-0.0,0.21331030432639908,0.0,0.0
2024-09-01 12:00:00,EMG_3,4,1.0,0.0624419600326479,0.10086834429375108,0.0,0.0
2024-09-01 12:00:00,BOOSTER,0,1.0,0.0902341085753583,0.0,0.0,0.0
2024-09-01 13:00:00,TH0,0,0.0,0.0,0.0,0.0,0.0
2024-09-01 13:00:00,EMG_1,1,1.0,0.1130229851312454,0.12864796862704392,0.0,0.0
2024-09-01 13:00:00,EMG_2,3,1.0,0.19605513294807936,0.07667095375828933,0.0,0.0
2024-09-01 13:00:00,EMG_3,4,1.0,0.02649394637022176,0.16167095375828944,0.0,0.0
2024-09-01 13:00:00,BOOSTER,0,1.0,0.0,0.0,0.0,0.0
2024-09-01 14:00:00,TH0,0,0.0,0.0,0.0,0.0,0.0
2024-09-01 14:00:00,EMG_1,1,1.0,0.10296658053227761,0.24009387429849605,0.0,0.0
2024-09-01 14:00:00,EMG_2,3,1.0,0.15,-0.0,0.0,0.0
2024-09-01 14:00:00,EMG_3,4,1.0,0.1179907559589493,0.07706969887182437,0.0,0.0
2024-09-01 14:00:00,BOOSTER,0,1.0,0.0,0.0,0.0,0.0
2024-09-01 15:00:00,TH0,0,0.0,0.0,0.0,0.0,0.0
2024-09-01 15:00:00,EMG_1,1,1.0,-0.0,0.2432182576302452,0.0,0.0
2024-09-01 15:00:00,EMG_2,3,1.0,0.15,-0.0,0.0,0.0
2024-09-01 15:00:00,EMG_3,4,1.0,0.0950260547316436,0.06819220289860162,0.0,0.0
2024-09-01 15:00:00,BOOSTER,0,1.0,0.0,0.0,0.0,0.0
2024-09-01 16:00:00,TH0,0,0.0,0.0,0.0,0.0,0.0
2024-09-01 16:00:00,EMG_1,1,1.0,-0.0,0.18,0.0,0.0
2024-09-01 16:00:00,EMG_2,3,1.0,0.1416187510680417,0.0083812489319582,0.0,0.0
2024-09-01 16:00:00,EMG_3,4,1.0,0.1,-0.0,0.0,0.0
2024-09-01 16:00:00,BOOSTER,0,1.0,0.0,0.0,0.0,0.0
2024-09-01 17:00:00,TH0,0,0.0,0.0,0.0,0.0,0.0
2024-09-01 17:00:00,EMG_1,1,1.0,0.18,-0.0,0.0,0.0
2024-09-01 17:00:00,EMG_2,3,1.0,0.1371654091492886,0.0128345908507113,0.0,0.0
2024-09-01 17:00:00,EMG_3,4,1.0,0.1,-0.0,0.0,0.0
