epoch,train_mse,val_mse,warmup_scale,train_gate_reg,train_attn_entropy
1.0,0.23905254900455475,0.2007843255996704,1.0,0.0,0.0
2.0,0.21764835715293884,0.17182424664497375,1.0,0.0,0.0
3.0,0.19774912297725677,0.1457565426826477,1.0,0.0,0.0
4.0,0.17948944866657257,0.12275145202875137,1.0,0.0,0.0
5.0,0.16211849451065063,0.1031288430094719,1.0,0.0,0.0
6.0,0.14573350548744202,0.08689045161008835,1.0,0.0,0.0
7.0,0.12725988030433655,0.07345984131097794,1.0,0.0,0.0
8.0,0.10760407149791718,0.06217752397060394,1.0,0.0,0.0
9.0,0.08604380488395691,0.052336424589157104,1.0,0.0,0.0
10.0,0.06470371037721634,0.043682392686605453,1.0,0.0,0.0
11.0,0.045509085059165955,0.03633781149983406,1.0,0.0,0.0
12.0,0.028792250901460648,0.029907401651144028,1.0,0.0,0.0
13.0,0.019372275099158287,0.02371480129659176,1.0,0.0,0.0
14.0,0.012786728329956532,0.017435094341635704,1.0,0.0,0.0
15.0,0.0083263935521245,0.011678727343678474,1.0,0.0,0.0
16.0,0.0056005301885306835,0.007108611986041069,1.0,0.0,0.0
17.0,0.0038997665978968143,0.0039930762723088264,1.0,0.0,0.0
18.0,0.002977639203891158,0.0021901645231992006,1.0,0.0,0.0
19.0,0.001668406999669969,0.0013615221250802279,1.0,0.0,0.0
20.0,0.0012963259359821677,0.0011319138575345278,1.0,0.0,0.0
21.0,0.0010610376484692097,0.001226795488037169,1.0,0.0,0.0
22.0,0.00095889694057405,0.0014684292254969478,1.0,0.0,0.0
23.0,0.0007895836606621742,0.0017447882564738393,1.0,0.0,0.0
24.0,0.001039515365846455,0.00202818401157856,1.0,0.0,0.0
25.0,0.0011695257853716612,0.0023032205644994974,1.0,0.0,0.0
26.0,0.0015730992890894413,0.0025323727168142796,1.0,0.0,0.0
27.0,0.0018849909538403153,0.0026979814283549786,1.0,0.0,0.0
28.0,0.0020649509970098734,0.0028125187382102013,1.0,0.0,0.0
29.0,0.002151577966287732,0.002871118485927582,1.0,0.0,0.0
30.0,0.0017254321137443185,0.002875036559998989,1.0,0.0,0.0
31.0,0.0017672826070338488,0.0028180312365293503,1.0,0.0,0.0
32.0,0.002155021298676729,0.002685198560357094,1.0,0.0,0.0
33.0,0.001684705843217671,0.002520380774512887,1.0,0.0,0.0
34.0,0.001985604874789715,0.0023325432557612658,1.0,0.0,0.0
35.0,0.001778042409569025,0.00213970011100173,1.0,0.0,0.0
36.0,0.0018205749802291393,0.0019958410412073135,1.0,0.0,0.0
37.0,0.0021407166495919228,0.0019164225086569786,1.0,0.0,0.0
38.0,0.0024318036157637835,0.0018333668122068048,1.0,0.0,0.0
39.0,0.001527426764369011,0.0017847918206825852,1.0,0.0,0.0
40.0,0.001438738196156919,0.0017447302816435695,1.0,0.0,0.0
41.0,0.0020202302839607,0.0017375588649883866,1.0,0.0,0.0
42.0,0.0015320309903472662,0.0017448902362957597,1.0,0.0,0.0
43.0,0.0018358814995735884,0.0017736965091899037,1.0,0.0,0.0
44.0,0.002262295689433813,0.0018164583016186953,1.0,0.0,0.0
45.0,0.0019903143402189016,0.0018684110837057233,1.0,0.0,0.0
