scenario,expected_fail_lines,probability
S1,9,0.067667
S2,5,0.067
S3,6,0.066
S4,7,0.063333
S5,4,0.061333
S6,8,0.058667
S7,3,0.058
S8,2,0.052
S9,12,0.049667
S10,11,0.048667
S11,13,0.046
S12,10,0.045667
S13,1,0.042333
S14,14,0.039667
S15,15,0.034333
S16,17,0.025333
S17,16,0.025
S18,0,0.021
S19,18,0.021
S20,19,0.016
S21,21,0.015667
S22,22,0.013667
S23,20,0.011
S24,23,0.009667
S25,24,0.008667
S26,25,0.008333
S27,26,0.005333
S28,27,0.005
S29,28,0.004667
S30,30,0.002333
S31,29,0.002
S32,31,0.001667
S33,33,0.001333
S34,32,0.000667
S35,34,0.000333
S36,37,0.000333
S37,38,0.000333
S38,44,0.000333
