timestamp,selected_strategy,generation_cost,reserve_cost,startup_shutdown_cost,load_shedding_penalty,total_cost
2024-09-02 00:00:00,Robust_UC,100.31717475866262,4.516479430587536,99575.22163823237,0.0,99680.05529242162
2024-09-02 01:00:00,Robust_UC,95.03901448520595,4.269254468916206,4.525854175622735,0.0,103.8341231297449
2024-09-02 02:00:00,Robust_UC,92.4118416829311,4.033320602454028,18.045006559477578,0.0,114.4901688448627
2024-09-02 03:00:00,Robust_UC,85.04617950706296,3.837159395093443,0.0,0.0,88.8833389021564
2024-09-02 04:00:00,Robust_UC,82.54265448659301,3.698705046046947,0.0,0.0,86.24135953263996
2024-09-02 05:00:00,Robust_UC,77.48512923487246,3.596819397901121,0.0,0.0,81.08194863277357
2024-09-02 06:00:00,Robust_UC,75.42046710911615,3.6437914429155676,0.0,0.0,79.06425855203172
2024-09-02 07:00:00,Robust_UC,81.056800166479,3.8730615519234526,0.0,0.0,84.92986171840245
2024-09-02 08:00:00,Robust_UC,83.63033217924938,3.8365475296232563,0.0,0.0,87.46687970887264
2024-09-02 09:00:00,Robust_UC,95.623530648641,4.030505006649621,0.0,0.0,99.65403565529061
2024-09-02 10:00:00,Robust_UC,100.68948121420446,4.261108386697483,0.0,0.0,104.95058960090195
2024-09-02 11:00:00,Robust_UC,114.47325644729446,4.430298369841394,0.0,0.0,118.90355481713586
2024-09-02 12:00:00,Robust_UC,114.59337840601623,4.357813485929214,0.0,0.0,118.95119189194544
2024-09-02 13:00:00,Robust_UC,112.71145194751692,4.233488867149836,0.0,0.0,116.94494081466675
2024-09-02 14:00:00,Robust_UC,114.86353148550934,4.25878704741009,0.0,0.0,119.12231853291944
2024-09-02 15:00:00,Robust_UC,117.08761713456981,4.308330400791517,0.0,0.0,121.39594753536133
2024-09-02 16:00:00,Robust_UC,119.97627086378814,4.385426421303504,0.0,0.0,124.36169728509165
2024-09-02 17:00:00,Stochastic_UC,110.8152323175263,4.605141123349765,0.0,0.0,115.42037344087606
2024-09-02 18:00:00,Stochastic_UC,113.96890407439999,4.821202548513535,0.0,0.0,118.79010662291353
2024-09-02 19:00:00,SCUC,132.610695887019,5.028974131161593,0.0,0.0,137.6396700181806
2024-09-02 20:00:00,SCUC,128.94443359607808,4.886315378377718,0.0,0.0,133.83074897445582
2024-09-02 21:00:00,SCUC,125.43444583374689,4.753305315805166,0.0,0.0,130.18775114955207
2024-09-02 22:00:00,SCUC,120.95716397236195,4.609048426268569,0.0,0.0,125.56621239863053
2024-09-02 23:00:00,SCUC,101.04379634547045,4.298825627838834,0.0,0.0,105.34262197330929
