model,total_cost,generation_cost,reserve_cost,startup_shutdown_cost,load_shedding_penalty,EENS,critical_load_supply_rate,priority_index,robustness,rapidity,sustainability,reliability_score,overload_count,max_line_loading,total_demand,solve_success,fallback_relaxation,solver_status,runtime_sec
SCUC,101984.01013542821,2256.966262785522,102.57370940254938,99624.47016324018,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,7.99909786918582e-05,28.492697056263715,True,True,0,46.90530990000116
Stochastic_UC,102598.07278765153,2849.0444439355056,128.22477883736968,99620.80356487863,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,7.522137895328053e-05,28.492697056263715,True,True,0,65.02185649995226
Robust_UC,103061.2444671022,3360.8782587322353,102.5737094025493,99597.79249896746,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.00010306136905465762,28.492697056263715,True,True,0,57.8373693000176
Contextual_Adaptive,102197.10899215432,2496.742783784315,102.5737094025494,99597.79249896746,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,9.269706618134504e-05,28.492697056263715,True,False,contextual_selection,169.7784044999862
