scenario,expected_fail_lines,probability
S1,5,0.071333
S2,7,0.071333
S3,9,0.066667
S4,4,0.062333
S5,8,0.062
S6,3,0.061333
S7,10,0.06
S8,6,0.053667
S9,2,0.053
S10,11,0.047333
S11,13,0.044667
S12,12,0.042667
S13,1,0.039667
S14,15,0.032667
S15,14,0.032
S16,16,0.029667
S17,17,0.023667
S18,0,0.023
S19,19,0.018333
S20,18,0.017
S21,20,0.017
S22,22,0.013667
S23,21,0.013
S24,23,0.008333
S25,24,0.008
S26,25,0.004333
S27,27,0.004
S28,26,0.003667
S29,30,0.003
S30,29,0.002333
S31,31,0.002
S32,28,0.001667
S33,32,0.001667
S34,33,0.001667
S35,34,0.001
S36,37,0.000667
S37,40,0.000667
S38,35,0.000333
S39,36,0.000333
S40,39,0.000333
