epoch,train_mse,val_mse,warmup_scale,train_gate_reg,train_attn_entropy,train_rank_loss,train_fp_loss
1.0,0.33021703362464905,0.09115742892026901,0.01,0.00865640863776207,0.9999700784683228,0.0,0.2900964617729187
2.0,0.09754941612482071,0.027773099020123482,0.02,0.004610063973814249,0.999958336353302,0.0,0.07901311665773392
3.0,0.04508505389094353,0.009363824501633644,0.03,0.0029219442512840033,0.9999825954437256,0.0,0.023666363209486008
4.0,0.03454644978046417,0.003780785948038101,0.04,0.0016466847155243158,0.9999744892120361,0.0,0.00791320949792862
5.0,0.03351663425564766,0.0018894728273153305,0.05,0.0008798094349913299,0.9999716877937317,0.0,0.003135143546387553
6.0,0.034087155014276505,0.0011495501967146993,0.06,0.00045206811046227813,0.9999549388885498,0.0,0.0015264839166775346
7.0,0.03471949324011803,0.0008307199459522963,0.07,0.0002289322583237663,0.9999918937683105,0.0,0.0009175114100798965
8.0,0.03512296825647354,0.0007040539057925344,0.08,0.00011824028479168192,0.9999632239341736,0.0,0.0006429300410673022
9.0,0.035308972001075745,0.0006986332009546459,0.09,6.452135130530223e-05,0.9999858140945435,0.0,0.0005350419087335467
10.0,0.03535880893468857,0.0008138030534610152,0.1,3.836805626633577e-05,0.9999885559082031,0.0,0.0005333148874342442
11.0,0.035146549344062805,0.0011180158471688628,0.11,2.555514765845146e-05,0.999977171421051,0.0,0.0006230444996617734
12.0,0.034791264683008194,0.0017978225369006395,0.12,1.952224010892678e-05,0.9999952912330627,0.0,0.0008879547822289169
13.0,0.03413855656981468,0.003274332033470273,0.13,1.7374635717715137e-05,0.9999959468841553,0.0,0.0014589999336749315
14.0,0.03374485671520233,0.0059586744755506516,0.14,1.7985074009629898e-05,0.9999901056289673,0.0,0.0027603141497820616
15.0,0.03381289541721344,0.007868953980505466,0.15,2.0107496311538853e-05,0.9999972581863403,0.0,0.005079434718936682
16.0,0.034015823155641556,0.0069251093082129955,0.16,1.7981321434490383e-05,0.9999998211860657,0.0,0.006718055810779333
17.0,0.03378557413816452,0.004970588255673647,0.17,1.1806168913608417e-05,0.999998927116394,0.0,0.005802792496979237
18.0,0.03323609009385109,0.003531703492626548,0.18,6.80395760355168e-06,0.9999989867210388,0.0,0.0041001662611961365
19.0,0.03306722268462181,0.002789829857647419,0.19,4.0057366277324036e-06,0.9999991655349731,0.0,0.0028411082457751036
20.0,0.033164963126182556,0.0025391976814717054,0.2,2.6310933662898606e-06,0.9999997615814209,0.0,0.002226270968094468
21.0,0.03306025639176369,0.0026680848095566034,0.21,1.9756530491576996e-06,0.9999989867210388,0.0,0.002029430354014039
22.0,0.03295166417956352,0.003187194699421525,0.22,1.6937315194809344e-06,0.9999989867210388,0.0,0.0020929051097482443
23.0,0.03281668201088905,0.004165422637015581,0.23,1.6387821233365685e-06,0.9999999403953552,0.0,0.0025185770355165005
24.0,0.03242429345846176,0.005616275127977133,0.24,1.745888880577695e-06,0.9999988079071045,0.0,0.003324075834825635
25.0,0.03238610923290253,0.007109527476131916,0.25,1.9625415461632656e-06,0.9999997615814209,0.0,0.004474584944546223
26.0,0.03221979737281799,0.007653112523257732,0.26,2.1537960037676385e-06,0.9999997615814209,0.0,0.00573849119246006
27.0,0.03231605142354965,0.00686087878420949,0.27,2.11092356039444e-06,0.9999991059303284,0.0,0.006151990965008736
28.0,0.031791169196367264,0.0055984011851251125,0.28,1.8126510212823632e-06,0.9999983310699463,0.0,0.00543010700494051
29.0,0.03159737214446068,0.0046264841221272945,0.29,1.4674845942863612e-06,0.9999986290931702,0.0,0.004388962872326374
30.0,0.031641650944948196,0.004202124197036028,0.3,1.2188381788291736e-06,0.9999998211860657,0.0,0.00354180415160954
31.0,0.03148072957992554,0.004352577030658722,0.31,1.1037802778446348e-06,0.999997079372406,0.0,0.0032224541064351797
32.0,0.03134806826710701,0.005116632673889399,0.32,1.1157827657370945e-06,0.999997615814209,0.0,0.0033228255342692137
33.0,0.03103584051132202,0.006509771570563316,0.33,1.2557112540889648e-06,0.9999992251396179,0.0,0.0038796751759946346
34.0,0.030569279566407204,0.008058661594986916,0.34,1.5249289617713657e-06,0.9999986290931702,0.0,0.004956391640007496
35.0,0.03040076605975628,0.008441398851573467,0.35,1.851437559707847e-06,0.9999985694885254,0.0,0.0061904555186629295
36.0,0.029963931068778038,0.007341286633163691,0.36,2.035205170614063e-06,0.9999985694885254,0.0,0.006439536344259977
37.0,0.0297187902033329,0.006139020901173353,0.37,2.0088782548555173e-06,0.9999980926513672,0.0,0.0055291010066866875
38.0,0.029328851029276848,0.005834124982357025,0.38,1.9885615074599627e-06,0.9999980330467224,0.0,0.004576198291033506
39.0,0.02908172458410263,0.006740701384842396,0.39,2.2054141481930856e-06,0.9999961256980896,0.0,0.004369773436337709
40.0,0.028276026248931885,0.008706459775567055,0.4,2.8715908229060005e-06,0.9999959468841553,0.0,0.00506828585639596
41.0,0.02789164148271084,0.009522312320768833,0.41,4.30119143857155e-06,0.9999956488609314,0.0,0.006562788970768452
42.0,0.027507545426487923,0.007512667682021856,0.42,6.596780622203369e-06,0.9999927282333374,0.0,0.007348190993070602
43.0,0.026591304689645767,0.006352149415761232,0.43,9.641479664423969e-06,0.9999901056289673,0.0,0.005840305704623461
44.0,0.0264256801456213,0.0075663491152226925,0.44,1.7985741578741e-05,0.9999911785125732,0.0,0.0050833942368626595
45.0,0.025754980742931366,0.008845181204378605,0.45,5.196278289076872e-05,0.9999895691871643,0.0,0.006298595108091831
46.0,0.02532816305756569,0.005353853572160006,0.46,0.00023505225544795394,0.999966025352478,0.0,0.007877098396420479
47.0,0.02469947561621666,0.0033466771710664034,0.47,0.0009056602139025927,0.9999929666519165,0.0,0.005330967251211405
48.0,0.02419564500451088,0.009717199020087719,0.48,0.005452975630760193,0.9999600052833557,0.0,0.004566201940178871
49.0,0.025247611105442047,0.001333395717665553,0.49,0.007140831556171179,0.9999386072158813,0.0,0.012015637941658497
50.0,0.024625182151794434,0.0013712731888517737,0.5,0.009700624272227287,0.9995759725570679,0.0,0.0023973030038177967
51.0,0.024045031517744064,0.00726856617256999,0.51,0.0103705283254385,0.9998515248298645,0.0,0.0025799451395869255
52.0,0.023409590125083923,0.003536190837621689,0.52,0.012285658158361912,0.9995030164718628,0.0,0.010994484648108482
53.0,0.021384933963418007,0.0011719075264409184,0.53,0.014301440678536892,0.9995888471603394,0.0,0.0064889369532465935
54.0,0.0219423845410347,0.002557439496740699,0.54,0.020974690094590187,0.999622106552124,0.0,0.003072414081543684
55.0,0.020090702921152115,0.003208652138710022,0.55,0.028846122324466705,0.9997511506080627,0.0,0.0066767847165465355
56.0,0.019972868263721466,0.0001857402385212481,0.56,0.04772324115037918,0.9997292160987854,0.0,0.009868877939879894
57.0,0.02343902364373207,0.0010559840593487024,0.57,0.07680656760931015,0.9996152520179749,0.0,0.0012249801075085998
