scenario,expected_fail_lines,probability
S1,3,0.073333
S2,4,0.073333
S3,5,0.072333
S4,2,0.065667
S5,8,0.062333
S6,6,0.061333
S7,7,0.061333
S8,9,0.057667
S9,10,0.051667
S10,1,0.050667
S11,11,0.048
S12,12,0.038
S13,13,0.032333
S14,14,0.031
S15,0,0.030333
S16,15,0.023
S17,16,0.021333
S18,17,0.018667
S19,19,0.018333
S20,20,0.017
S21,18,0.015
S22,21,0.012333
S23,22,0.01
S24,25,0.008333
S25,23,0.008
S26,24,0.007
S27,26,0.005
S28,27,0.004
S29,28,0.003667
S30,29,0.003
S31,30,0.002667
S32,31,0.002333
S33,32,0.002333
S34,33,0.002
S35,37,0.001667
S36,35,0.001333
S37,34,0.000667
S38,36,0.000667
S39,41,0.000667
S40,38,0.000333
S41,39,0.000333
S42,43,0.000333
S43,44,0.000333
S44,45,0.000333
