scenario,expected_fail_lines,probability
S1,0,0.241333
S2,1,0.234
S3,2,0.178333
S4,3,0.143333
S5,4,0.085
S6,5,0.052
S7,6,0.032667
S8,7,0.019667
S9,8,0.007667
S10,9,0.005
S11,10,0.000667
S12,12,0.000333
