scenario,expected_fail_lines,probability
S1,0,0.355
S2,1,0.195
S3,2,0.155
S4,3,0.106667
S5,4,0.07
S6,5,0.038333
S7,6,0.038333
S8,7,0.018333
S9,8,0.011667
S10,10,0.006667
S11,9,0.005
