scenario,expected_fail_lines,probability
S1,5,0.071667
S2,3,0.070667
S3,4,0.070333
S4,7,0.067667
S5,6,0.067333
S6,8,0.061
S7,9,0.060333
S8,2,0.057333
S9,10,0.054333
S10,11,0.050333
S11,1,0.044333
S12,12,0.042
S13,13,0.041333
S14,14,0.030667
S15,15,0.026333
S16,16,0.024333
S17,0,0.023667
S18,17,0.021667
S19,18,0.02
S20,20,0.016333
S21,19,0.015333
S22,22,0.011333
S23,21,0.010667
S24,24,0.006333
S25,25,0.005667
S26,23,0.004667
S27,29,0.004333
S28,30,0.003667
S29,26,0.003333
S30,27,0.003333
S31,28,0.001667
S32,32,0.001667
S33,31,0.001333
S34,34,0.001333
S35,33,0.001
S36,35,0.000667
S37,40,0.000667
S38,36,0.000333
S39,37,0.000333
S40,38,0.000333
S41,39,0.000333
