epoch,train_mse,val_mse,warmup_scale,train_gate_reg,train_attn_entropy
1.0,0.2668229341506958,0.05380969122052193,1.0,0.0,0.0
2.0,0.05324851721525192,0.006183322984725237,1.0,0.0,0.0
3.0,0.00666902307420969,0.0007504401146434247,1.0,0.0,0.0
4.0,0.0009905393235385418,0.00012392987264320254,1.0,0.0,0.0
5.0,0.0002652544353622943,2.894369390560314e-05,1.0,0.0,0.0
6.0,0.00014320641639642417,1.0267096513416618e-05,1.0,0.0,0.0
7.0,0.00011762641952373087,5.7614643083070405e-06,1.0,0.0,0.0
8.0,0.00011201207962585613,4.488937520363834e-06,1.0,0.0,0.0
9.0,0.00010969747381750494,4.0827148950484116e-06,1.0,0.0,0.0
10.0,0.00010879142064368352,3.939981070288923e-06,1.0,0.0,0.0
11.0,0.00010866760567296296,3.885934347636066e-06,1.0,0.0,0.0
12.0,0.00010864137584576383,3.864320206048433e-06,1.0,0.0,0.0
13.0,0.0001085602561943233,3.8553412196051795e-06,1.0,0.0,0.0
14.0,0.00010856612789211795,3.851563633361366e-06,1.0,0.0,0.0
15.0,0.0001085594340111129,3.850025677820668e-06,1.0,0.0,0.0
16.0,0.00010852600098587573,3.849451786663849e-06,1.0,0.0,0.0
17.0,0.0001085429175873287,3.849312179227127e-06,1.0,0.0,0.0
18.0,0.00010854344873223454,3.8493494685098995e-06,1.0,0.0,0.0
19.0,0.00010853631101781502,3.849463610094972e-06,1.0,0.0,0.0
20.0,0.0001085430703824386,3.84959594157408e-06,1.0,0.0,0.0
21.0,0.00010850471153389663,3.849726908811135e-06,1.0,0.0,0.0
22.0,0.00010853735147975385,3.849846962111769e-06,1.0,0.0,0.0
23.0,0.00010853948333533481,3.8499538277392276e-06,1.0,0.0,0.0
24.0,0.0001085443000192754,3.850044777209405e-06,1.0,0.0,0.0
25.0,0.00010853996354853734,3.8501343624375295e-06,1.0,0.0,0.0
26.0,0.00010854508582269773,3.850197117571952e-06,1.0,0.0,0.0
27.0,0.00010854489664779976,3.850255325232865e-06,1.0,0.0,0.0
28.0,0.00010853170533664525,3.850311713904375e-06,1.0,0.0,0.0
29.0,0.00010854662104975432,3.850353550660657e-06,1.0,0.0,0.0
30.0,0.00010854652646230534,3.850398115901044e-06,1.0,0.0,0.0
31.0,0.00010854237916646525,3.850426310236799e-06,1.0,0.0,0.0
32.0,0.00010854420543182641,3.850456323561957e-06,1.0,0.0,0.0
33.0,0.00010854360152734444,3.850487246381817e-06,1.0,0.0,0.0
34.0,0.00010854721767827868,3.850510438496713e-06,1.0,0.0,0.0
35.0,0.00010854750871658325,3.850522261927836e-06,1.0,0.0,0.0
36.0,0.00010854508582269773,3.8505468182847835e-06,1.0,0.0,0.0
37.0,0.00010853172716451809,3.850562279694714e-06,1.0,0.0,0.0
38.0,0.00010854709398699924,3.850569100904977e-06,1.0,0.0,0.0
39.0,0.00010854299034690484,3.850585471809609e-06,1.0,0.0,0.0
40.0,0.00010854413267225027,3.850592747767223e-06,1.0,0.0,0.0
41.0,0.00010854654829017818,3.850600478472188e-06,1.0,0.0,0.0
42.0,0.00010854041465790942,3.850608209177153e-06,1.0,0.0,0.0
43.0,0.00010853198182303458,3.850616394629469e-06,1.0,0.0,0.0
44.0,0.00010854320134967566,3.850625034829136e-06,1.0,0.0,0.0
45.0,0.0001085427138605155,3.850633220281452e-06,1.0,0.0,0.0
46.0,0.00010854165157070383,3.850641405733768e-06,1.0,0.0,0.0
47.0,0.00010854670836124569,3.850640950986417e-06,1.0,0.0,0.0
48.0,0.00010854715219466016,3.850649136438733e-06,1.0,0.0,0.0
49.0,0.00010854692663997412,3.850648681691382e-06,1.0,0.0,0.0
50.0,0.00010852637933567166,3.850657321891049e-06,1.0,0.0,0.0
51.0,0.00010854675201699138,3.850656867143698e-06,1.0,0.0,0.0
52.0,0.0001085430703824386,3.850665962090716e-06,1.0,0.0,0.0
53.0,0.0001085458425222896,3.850665507343365e-06,1.0,0.0,0.0
54.0,0.00010854730498977005,3.850665052596014e-06,1.0,0.0,0.0
55.0,0.00010854695574380457,3.850665052596014e-06,1.0,0.0,0.0
56.0,0.00010854413994820789,3.850673692795681e-06,1.0,0.0,0.0
57.0,0.00010853540152311325,3.850673692795681e-06,1.0,0.0,0.0
58.0,0.00010854293941520154,3.85067323804833e-06,1.0,0.0,0.0
59.0,0.00010854510765057057,3.85067323804833e-06,1.0,0.0,0.0
60.0,0.00010854597348952666,3.85067323804833e-06,1.0,0.0,0.0
61.0,0.00010854518041014671,3.850681878247997e-06,1.0,0.0,0.0
62.0,0.00010854518768610433,3.850681423500646e-06,1.0,0.0,0.0
63.0,0.00010853748972294852,3.850681423500646e-06,1.0,0.0,0.0
64.0,0.00010854642459889874,3.850681423500646e-06,1.0,0.0,0.0
65.0,0.00010854243737412617,3.850681423500646e-06,1.0,0.0,0.0
66.0,0.00010854544234462082,3.850681423500646e-06,1.0,0.0,0.0
67.0,0.00010854480933630839,3.850681423500646e-06,1.0,0.0,0.0
68.0,0.00010854670836124569,3.850680968753295e-06,1.0,0.0,0.0
69.0,0.00010854697757167742,3.850680968753295e-06,1.0,0.0,0.0
70.0,0.00010854677384486422,3.850680968753295e-06,1.0,0.0,0.0
71.0,0.00010854628635570407,3.850680968753295e-06,1.0,0.0,0.0
72.0,0.00010854601714527234,3.850680968753295e-06,1.0,0.0,0.0
73.0,0.00010854023275896907,3.850680968753295e-06,1.0,0.0,0.0
74.0,0.00010854720312636346,3.850680968753295e-06,1.0,0.0,0.0
