line_id,input_p_mean,empirical_p_mean,absolute_error_mean
L11,0.3333373520006451,0.3333333333333333,4.018667311811441e-06
L10,0.3333337570499506,0.3333333333333333,4.2371661729267984e-07
L4,0.33333360843938303,0.3333333333333333,2.7510604971858754e-07
L0,0.27887929965918634,0.2864583333333333,0.007579033674146973
L12,0.20694843255023923,0.1953125,0.01163593255023923
L3,0.16720376163056336,0.16927083333333334,0.0020670717027699848
L8,0.1667512193633122,0.16666666666666666,8.455269664553455e-05
L7,0.1667333753934639,0.16666666666666666,6.670872679723217e-05
L5,0.16670684049214826,0.16666666666666666,4.01738254816042e-05
L13,0.16670639598666245,0.16666666666666666,3.9729319995795986e-05
L6,0.1666899067338817,0.16666666666666666,2.324006721504679e-05
L9,0.16668923108849243,0.16666666666666666,2.2564421825771452e-05
L1,0.16668030553720226,0.16666666666666666,1.3638870535598313e-05
L2,0.1666766908345935,0.16666666666666666,1.002416792683647e-05
L14,0.1666728448968217,0.16666666666666666,6.178230155029496e-06
