scenario,scenario_id,timestamp,failed_lines,outage_line_count,disconnected_load_count,probability,method
S1,0,2024-09-01 00:00:00,L0|L1|L10|L11|L12|L13|L14|L2|L3|L4|L5|L6|L7|L8|L9,15,4,0.015625,c3po_ref
S1,0,2024-09-01 01:00:00,L4,1,0,0.015625,c3po_ref
S1,0,2024-09-01 02:00:00,,0,0,0.015625,c3po_ref
S1,0,2024-09-01 03:00:00,L10|L11,2,2,0.015625,c3po_ref
S1,0,2024-09-01 04:00:00,,0,0,0.015625,c3po_ref
S1,0,2024-09-01 05:00:00,,0,0,0.015625,c3po_ref
S2,1,2024-09-01 00:00:00,L0|L1|L10|L11|L12|L13|L14|L2|L3|L4|L5|L6|L7|L8|L9,15,4,0.015625,c3po_ref
S2,1,2024-09-01 01:00:00,L4,1,0,0.015625,c3po_ref
S2,1,2024-09-01 02:00:00,,0,0,0.015625,c3po_ref
S2,1,2024-09-01 03:00:00,L0|L10|L11,3,3,0.015625,c3po_ref
S2,1,2024-09-01 04:00:00,,0,0,0.015625,c3po_ref
S2,1,2024-09-01 05:00:00,,0,0,0.015625,c3po_ref
S3,2,2024-09-01 00:00:00,L0|L1|L10|L11|L12|L13|L14|L2|L3|L4|L5|L6|L7|L8|L9,15,4,0.015625,c3po_ref
S3,2,2024-09-01 01:00:00,L4,1,0,0.015625,c3po_ref
S3,2,2024-09-01 02:00:00,,0,0,0.015625,c3po_ref
S3,2,2024-09-01 03:00:00,L10|L11,2,2,0.015625,c3po_ref
S3,2,2024-09-01 04:00:00,,0,0,0.015625,c3po_ref
S3,2,2024-09-01 05:00:00,,0,0,0.015625,c3po_ref
S4,3,2024-09-01 00:00:00,L0|L1|L10|L11|L12|L13|L14|L2|L3|L4|L5|L6|L7|L8|L9,15,4,0.015625,c3po_ref
S4,3,2024-09-01 01:00:00,L12|L4,2,0,0.015625,c3po_ref
S4,3,2024-09-01 02:00:00,,0,0,0.015625,c3po_ref
S4,3,2024-09-01 03:00:00,L0|L10|L11,3,3,0.015625,c3po_ref
S4,3,2024-09-01 04:00:00,,0,0,0.015625,c3po_ref
S4,3,2024-09-01 05:00:00,,0,0,0.015625,c3po_ref
S5,4,2024-09-01 00:00:00,L0|L1|L10|L11|L12|L13|L14|L2|L3|L4|L5|L6|L7|L8|L9,15,4,0.015625,c3po_ref
S5,4,2024-09-01 01:00:00,L4,1,0,0.015625,c3po_ref
S5,4,2024-09-01 02:00:00,,0,0,0.015625,c3po_ref
S5,4,2024-09-01 03:00:00,L10|L11,2,2,0.015625,c3po_ref
S5,4,2024-09-01 04:00:00,,0,0,0.015625,c3po_ref
S5,4,2024-09-01 05:00:00,,0,0,0.015625,c3po_ref
S6,5,2024-09-01 00:00:00,L0|L1|L10|L11|L12|L13|L14|L2|L3|L4|L5|L6|L7|L8|L9,15,4,0.015625,c3po_ref
S6,5,2024-09-01 01:00:00,L4,1,0,0.015625,c3po_ref
S6,5,2024-09-01 02:00:00,,0,0,0.015625,c3po_ref
S6,5,2024-09-01 03:00:00,L0|L10|L11,3,3,0.015625,c3po_ref
S6,5,2024-09-01 04:00:00,,0,0,0.015625,c3po_ref
S6,5,2024-09-01 05:00:00,,0,0,0.015625,c3po_ref
S7,6,2024-09-01 00:00:00,L0|L1|L10|L11|L12|L13|L14|L2|L3|L4|L5|L6|L7|L8|L9,15,4,0.015625,c3po_ref
S7,6,2024-09-01 01:00:00,L4,1,0,0.015625,c3po_ref
S7,6,2024-09-01 02:00:00,,0,0,0.015625,c3po_ref
S7,6,2024-09-01 03:00:00,L0|L10|L11,3,3,0.015625,c3po_ref
