run_name,run_dir,status,return_code,skipped,wall_seconds,block,case_id,seed,label_method,contingency_tensor,model_variant,warmup_on,gate_reg_on,risk_weight_on,preset,metapath_topk,hidden_dim,epochs,lr,weight_decay,train_ratio,risk_weight_alpha,risk_weight_beta,risk_weight_threshold,risk_weight_on_metapath_only,metapath_gate_reg_lambda,metapath_attention_entropy_reg_lambda,metapath_warmup_epochs,run_baseline_comparison,val_mae,val_rmse,val_brier,val_high_risk_mae,val_top_risk_mae,best_val_mse,metapath_gate_mean,epochs_effective
0001_A_label-c3po_ref_model-baseline_gnn_seed-42,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_attr_full_20260413_230423\0001_A_label-c3po_ref_model-baseline_gnn_seed-42,ok,0,False,93.624590300009,A,A_label-c3po_ref_model-baseline_gnn_seed-42,42,c3po_ref,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,baseline_gnn,False,False,False,neutral,3,80,700,0.0035,0.00015,0.7,0.0,0.0,0.1,False,0.0,0.0,0,False,0.15621239995640335,0.2089139606979803,0.04364504297451726,0.319381051338636,0.15621239995640335,0.04364504665136337,,68.0
0002_A_label-c3po_ref_model-metapath_v1_seed-42,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_attr_full_20260413_230423\0002_A_label-c3po_ref_model-metapath_v1_seed-42,ok,0,False,424.8087827999989,A,A_label-c3po_ref_model-metapath_v1_seed-42,42,c3po_ref,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,metapath_v1,False,False,False,neutral,3,80,700,0.0035,0.00015,0.7,0.0,0.0,0.1,False,0.0,0.0,0,False,0.026167396615456903,0.03919584072693718,0.0015363139302914273,0.1115459415775079,0.026167396615456903,0.0015363137936219573,0.9999919152922101,161.0
0003_A_label-wang_qmc_model-baseline_gnn_seed-42,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_attr_full_20260413_230423\0003_A_label-wang_qmc_model-baseline_gnn_seed-42,ok,0,False,43.815002799994545,A,A_label-wang_qmc_model-baseline_gnn_seed-42,42,wang_qmc,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,baseline_gnn,False,False,False,neutral,3,80,700,0.0035,0.00015,0.7,0.0,0.0,0.1,False,0.0,0.0,0,False,0.3709031646901911,0.44907454450140416,0.20166794651914363,0.21587593778967856,0.21587593778967856,0.20166796445846558,,61.0
0004_A_label-wang_qmc_model-metapath_v1_seed-42,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_attr_full_20260413_230423\0004_A_label-wang_qmc_model-metapath_v1_seed-42,ok,0,False,34.541518600002746,A,A_label-wang_qmc_model-metapath_v1_seed-42,42,wang_qmc,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,metapath_v1,False,False,False,neutral,3,80,700,0.0035,0.00015,0.7,0.0,0.0,0.1,False,0.0,0.0,0,False,0.359669162829717,0.4527412181340003,0.20497461059745847,0.19130221356948215,0.19130221356948215,0.20497460663318634,0.0667183350564705,61.0
0005_A_label-c3po_ref_model-baseline_gnn_seed-43,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_attr_full_20260413_230423\0005_A_label-c3po_ref_model-baseline_gnn_seed-43,ok,0,False,23.162971800004016,A,A_label-c3po_ref_model-baseline_gnn_seed-43,43,c3po_ref,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,baseline_gnn,False,False,False,neutral,3,80,700,0.0035,0.00015,0.7,0.0,0.0,0.1,False,0.0,0.0,0,False,0.15126273503357715,0.17308391853981636,0.029958042857097786,0.29745176205268276,0.15126273503357715,0.02995803952217102,,67.0
0006_A_label-c3po_ref_model-metapath_v1_seed-43,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_attr_full_20260413_230423\0006_A_label-c3po_ref_model-metapath_v1_seed-43,ok,0,False,118.23781189999136,A,A_label-c3po_ref_model-metapath_v1_seed-43,43,c3po_ref,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,metapath_v1,False,False,False,neutral,3,80,700,0.0035,0.00015,0.7,0.0,0.0,0.1,False,0.0,0.0,0,False,0.0201920643766326,0.028093720376582393,0.0007892571245976008,0.06348995520518376,0.0201920643766326,0.0007892569992691278,0.9999918316801389,264.0
0007_A_label-wang_qmc_model-baseline_gnn_seed-43,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_attr_full_20260413_230423\0007_A_label-wang_qmc_model-baseline_gnn_seed-43,ok,0,False,22.41862029999902,A,A_label-wang_qmc_model-baseline_gnn_seed-43,43,wang_qmc,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,baseline_gnn,False,False,False,neutral,3,80,700,0.0035,0.00015,0.7,0.0,0.0,0.1,False,0.0,0.0,0,False,0.36286067185979903,0.4502159271568093,0.20269438106566542,0.1996778463323911,0.1996778463323911,0.202694371342659,,61.0
0008_A_label-wang_qmc_model-metapath_v1_seed-43,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_attr_full_20260413_230423\0008_A_label-wang_qmc_model-metapath_v1_seed-43,ok,0,False,34.73154810001142,A,A_label-wang_qmc_model-metapath_v1_seed-43,43,wang_qmc,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,metapath_v1,False,False,False,neutral,3,80,700,0.0035,0.00015,0.7,0.0,0.0,0.1,False,0.0,0.0,0,False,0.3474472912875089,0.45826178861885547,0.2100038669081526,0.1644847350815932,0.1644847350815932,0.21000385284423828,0.1931043223788341,61.0
0009_A_label-c3po_ref_model-baseline_gnn_seed-44,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_attr_full_20260413_230423\0009_A_label-c3po_ref_model-baseline_gnn_seed-44,ok,0,False,24.151449600001797,A,A_label-c3po_ref_model-baseline_gnn_seed-44,44,c3po_ref,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,baseline_gnn,False,False,False,neutral,3,80,700,0.0035,0.00015,0.7,0.0,0.0,0.1,False,0.0,0.0,0,False,0.17844471229296743,0.21797055629917203,0.04751116341337052,0.3101504147052765,0.17844471229296743,0.04751116409897804,,69.0
0010_A_label-c3po_ref_model-metapath_v1_seed-44,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_attr_full_20260413_230423\0010_A_label-c3po_ref_model-metapath_v1_seed-44,ok,0,False,137.0332580999966,A,A_label-c3po_ref_model-metapath_v1_seed-44,44,c3po_ref,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,metapath_v1,False,False,False,neutral,3,80,700,0.0035,0.00015,0.7,0.0,0.0,0.1,False,0.0,0.0,0,False,0.02177020173491628,0.03221764950926336,0.0010379769399017377,0.08870814396784855,0.02177020173491628,0.0010379769373685122,0.9999885352121459,304.0
