wind_variant,strategy_id,run_tag,mean_fusion_score,std_fusion_score,mean_warning_auprc,mean_warning_recall_top10,mean_rr,mean_priority,mean_sustainability,mean_cost,count,rank_in_group
baseline_dpgmm,STR_001,batts__c3po_ref__rr0p3,0.42934461724740347,0.293499221122317,0.999884025664029,0.5444444444444445,0.3640789004484072,0.6778776195707306,0.35609243877315366,1733.1557591020887,5,1
high_wind_high_pv,STR_001,batts__c3po_ref__rr0p3,0.40061686851201006,0.31836600171767854,0.9999130192480218,0.5962962962962963,0.3957719243101542,0.7194578547398306,0.38734774431678465,1595.960823726487,5,1
high_wind_low_pv,STR_001,batts__c3po_ref__rr0p3,0.38432053562822266,0.28573877733214276,0.999884025664029,0.5447530864197531,0.34607980095293284,0.6975620432305023,0.33965923137538095,1744.7426889255923,6,1
low_wind_high_pv,STR_001,batts__c3po_ref__rr0p3,0.4443035695337554,0.3390159971479116,0.9999130192480218,0.6041666666666666,0.38987140516730534,0.7146507685749107,0.3806873479278808,1618.740775859284,4,1
low_wind_low_pv,STR_001,batts__c3po_ref__rr0p3,0.3526609551715171,0.3510792486054985,1.0,0.6689814814814815,0.33346899139383834,0.7087598715401816,0.3259582150764935,1689.2606074747332,4,1
