intensity_scale,strategy_id,run_tag,mean_fusion_score,std_fusion_score,mean_warning_auprc,mean_warning_recall_top10,mean_rr,mean_priority,mean_sustainability,mean_cost,count,rank_in_group
0.8,STR_001,batts__c3po_ref__rr0p3,0.18539215613370733,0.011877128924968176,,0.5555555555555556,0.3560550430090869,0.7281702126254745,0.3473224165326223,1632.8470487653447,6,2
0.8,STR_003,schloemer__c3po_ref__rr0p3,0.20142213302161693,0.010580226004007624,,0.5925925925925926,0.35592691208709676,0.7270250672664368,0.3472266306346654,1634.8582154372104,6,1
1.0,STR_001,batts__c3po_ref__rr0p3,0.19767625172665163,0.015749135302098403,,0.5648148148148148,0.37779916949249237,0.7408022436340217,0.37154761486907606,1645.0671662077914,7,1
1.0,STR_003,schloemer__c3po_ref__rr0p3,0.1887294280742227,0.01187381107756875,0.9996279983578636,0.5648148148148148,0.370303004838705,0.6814660980452673,0.3650062001191571,1747.4637915669396,7,2
1.2,STR_001,batts__c3po_ref__rr0p3,0.9143633946684714,0.02334696402265196,1.0,1.0,0.36295847704306194,0.6864955616500769,0.354328914270471,1720.8792835845045,5,1
1.2,STR_003,schloemer__c3po_ref__rr0p3,0.08088271938819296,0.01750688648341663,0.9996391113075337,0.3333333333333333,0.3526781018511879,0.5763213793676838,0.342956157822181,1903.6300897592741,5,2
1.4,STR_001,batts__c3po_ref__rr0p3,0.4292808448593884,0.005313278780045366,0.9998260384960437,0.2962962962962963,0.36222961433961687,0.6464295669924676,0.35422103018130896,1738.182617843895,6,2
1.4,STR_003,schloemer__c3po_ref__rr0p3,0.6812141780787656,0.005037361246054078,1.0,0.4166666666666667,0.35447525790099615,0.574884933319111,0.34540500816813524,1852.5591513329043,6,1
