scenario,expected_fail_lines,probability
S1,5,0.069
S2,8,0.067333
S3,7,0.066333
S4,9,0.065667
S5,3,0.063
S6,4,0.062667
S7,10,0.060667
S8,6,0.06
S9,2,0.053333
S10,12,0.046667
S11,11,0.040667
S12,13,0.040667
S13,1,0.039667
S14,14,0.036333
S15,15,0.034
S16,16,0.030667
S17,17,0.024333
S18,0,0.023
S19,19,0.017333
S20,20,0.017
S21,18,0.015667
S22,21,0.013333
S23,22,0.012333
S24,23,0.007
S25,24,0.006667
S26,25,0.006333
S27,26,0.004
S28,28,0.003333
S29,27,0.003
S30,30,0.002
S31,32,0.002
S32,29,0.001333
S33,31,0.001
S34,33,0.001
S35,34,0.001
S36,37,0.001
S37,35,0.000333
S38,40,0.000333
