label_method,seed,best_val_mse_new,best_val_mse_old,val_high_risk_mae_new,val_high_risk_mae_old,val_mae_new,val_mae_old,val_rmse_new,val_rmse_old,delta_val_mae_old_minus_new,delta_best_val_mse_old_minus_new,delta_val_high_risk_mae_old_minus_new
c3po_ref,42,0.0014595809625461698,0.0006238002679310739,0.10514424168146573,0.06217723110547432,0.02903632751214459,0.02109895022585988,0.038204460702961025,0.024975992742442717,-0.00793737728628471,-0.0008357806946150959,-0.04296701057599141
c3po_ref,43,0.001145262154750526,0.0005635507986880839,0.10441093032176678,0.07228254068356293,0.020711189648136497,0.013530879091316212,0.0338417190866473,0.023739224260703237,-0.007180310556820285,-0.0005817113560624421,-0.032128389638203844
c3po_ref,44,0.001135527272708714,0.0008851625025272369,0.08817176692760907,0.0770621935908611,0.02519489556522758,0.022081379369465692,0.03369758515401864,0.029751679798858875,-0.003113516195761886,-0.00025036477018147707,-0.011109573336747974
c3po_ref,45,0.0010912958532571793,0.0006915588746778667,0.09788054285141137,0.06780805725317735,0.022125241833484986,0.021212292990336817,0.033034767472905645,0.026297505962472347,-0.0009129488431481696,-0.00039973697857931256,-0.030072485598234028
c3po_ref,46,0.0014485713327303529,0.0025265582371503115,0.08941169341023152,0.094234076830057,0.024126157990946067,0.032419423198778975,0.038060102197583316,0.050264878623872224,0.008293265207832908,0.0010779869044199586,0.0048223834198254795
wang_qmc,42,0.20305486023426056,0.20843000710010529,0.2036862554649512,0.17274667595823606,0.3652646005153656,0.3512847577080582,0.4506160907053868,0.4565413609803688,-0.013979842807307352,0.0053751468658447266,-0.030939579506715137
wang_qmc,43,0.20762738585472107,0.21431569755077362,0.17611740057667097,0.14617343743642172,0.35273752682136766,0.33913255857698843,0.45566149055126703,0.4629424367035269,-0.013604968244379234,0.006688311696052551,-0.029943963140249247
wang_qmc,44,0.20594853162765503,0.21245451271533966,0.1876313144961993,0.1537707470357418,0.35822440963802915,0.34259375261537955,0.4538155221412079,0.46092788848029154,-0.015630657022649597,0.006505981087684631,-0.033860567460457486
wang_qmc,45,0.19925814867019653,0.20005126297473907,0.2774851235250632,0.2440354570746422,0.3994471882328843,0.38421453165285513,0.4463834301869794,0.4472709232148884,-0.015232656580029147,0.0007931143045425415,-0.03344966645042102
wang_qmc,46,0.19939608871936798,0.19770032167434692,0.3107167052725951,0.27941288153330485,0.41365425984064735,0.3992253930279703,0.4465379078807386,0.44463505879337056,-0.014428866812677077,-0.0016957670450210571,-0.03130382373929025
