epoch,train_mse,val_mse,warmup_scale,train_gate_reg,train_attn_entropy,train_rank_loss
1.0,0.20585109293460846,0.2249157428741455,0.01,0.28409361839294434,0.9997938275337219,0.0
2.0,0.18959252536296844,0.20663757622241974,0.02,0.08461908251047134,0.9999811053276062,0.0
3.0,0.17516416311264038,0.18823465704917908,0.03,0.028182921931147575,0.999874472618103,0.0
4.0,0.16142678260803223,0.1689455509185791,0.04,0.01018131896853447,0.99988853931427,0.0
5.0,0.1480717658996582,0.14584290981292725,0.05,0.004822965711355209,0.999966561794281,0.0
6.0,0.13476130366325378,0.11215217411518097,0.06,0.004224569071084261,0.9998243451118469,0.0
7.0,0.1211126372218132,0.05957138538360596,0.07,0.007810322102159262,0.9999266266822815,0.0
8.0,0.1052660122513771,0.01158094685524702,0.08,0.02613704651594162,0.9997962713241577,0.0
9.0,0.08606696873903275,0.0005694710998795927,0.09,0.10400018841028214,0.9999313950538635,0.0
10.0,0.06640546768903732,8.681720828462858e-06,0.1,0.30975401401519775,0.9998650550842285,0.0
11.0,0.050404466688632965,1.9672850015695076e-08,0.11,0.4992040991783142,0.9996165633201599,0.0
12.0,0.04059614613652229,9.426258662514897e-10,0.12,0.623766303062439,0.9999372363090515,0.0
13.0,0.039130035787820816,9.387127741788959e-10,0.13,0.6863288283348083,0.9996578693389893,0.0
14.0,0.040731292217969894,9.389791166825034e-10,0.14,0.6823745965957642,0.999897301197052,0.0
15.0,0.0415225513279438,9.389642396939735e-10,0.15,0.6217826008796692,0.9997518062591553,0.0
16.0,0.040969118475914,9.385225929747776e-10,0.16,0.5138764977455139,0.9998273253440857,0.0
17.0,0.03929750993847847,9.398385403258658e-10,0.17,0.38138920068740845,0.9999310970306396,0.0
18.0,0.03700968623161316,4.5885855115557206e-09,0.18,0.2589920461177826,0.9997681379318237,0.0
19.0,0.034705933183431625,5.428937015494739e-07,0.19,0.16895730793476105,0.9999585151672363,0.0
20.0,0.032855816185474396,2.2292881112662144e-05,0.2,0.11140720546245575,0.999950647354126,0.0
21.0,0.03198135271668434,0.0002598487481009215,0.21,0.07686762511730194,0.9998935461044312,0.0
22.0,0.03167717158794403,0.0010100145591422915,0.22,0.05638324096798897,0.9999613165855408,0.0
23.0,0.03164004161953926,0.0018226896645501256,0.23,0.04400390014052391,0.9999945759773254,0.0
24.0,0.03144301474094391,0.0021454314701259136,0.24,0.03620051592588425,0.9999704957008362,0.0
25.0,0.030999010428786278,0.0020060890819877386,0.25,0.03099905326962471,0.9999375343322754,0.0
26.0,0.03058730810880661,0.0016716041136533022,0.26,0.027457086369395256,0.9999394416809082,0.0
27.0,0.030100364238023758,0.001352878287434578,0.27,0.02497619390487671,0.9999774098396301,0.0
28.0,0.02954287640750408,0.001152062090113759,0.28,0.02297588624060154,0.9999986290931702,0.0
29.0,0.029140817001461983,0.0010939845815300941,0.29,0.020851142704486847,0.9999702572822571,0.0
30.0,0.028788382187485695,0.0011857907520607114,0.3,0.018257463350892067,0.9999548196792603,0.0
31.0,0.028349952772259712,0.0014350451529026031,0.31,0.01521927397698164,0.9999852776527405,0.0
32.0,0.027871521189808846,0.0018475510878488421,0.32,0.012078954838216305,0.9999963641166687,0.0
33.0,0.027385752648115158,0.0024140747264027596,0.33,0.009217052720487118,0.9999701976776123,0.0
34.0,0.026912327855825424,0.003098087850958109,0.34,0.006851415149867535,0.9999656081199646,0.0
35.0,0.02637087181210518,0.0038473813328891993,0.35,0.005028720945119858,0.9999914765357971,0.0
36.0,0.025835741311311722,0.004591783508658409,0.36,0.0036815195344388485,0.9999967217445374,0.0
37.0,0.025399571284651756,0.005279387813061476,0.37,0.002719696843996644,0.9999818205833435,0.0
38.0,0.024835098534822464,0.005869652610272169,0.38,0.002042622771114111,0.9999821186065674,0.0
39.0,0.02437702566385269,0.006350183859467506,0.39,0.0015710582956671715,0.9999963641166687,0.0
40.0,0.023583583533763885,0.00672594178467989,0.4,0.0012411136412993073,0.9999963641166687,0.0
41.0,0.022940881550312042,0.007006578613072634,0.41,0.0010065932292491198,0.9999863505363464,0.0
42.0,0.022502724081277847,0.007202863227576017,0.42,0.0008376966579817235,0.9999858140945435,0.0
43.0,0.02200331538915634,0.007321000099182129,0.43,0.0007149744196794927,0.9999959468841553,0.0
44.0,0.021042127162218094,0.00737580843269825,0.44,0.0006259571528062224,0.9999992847442627,0.0
45.0,0.020638715475797653,0.00737457862123847,0.45,0.0005601936718448997,0.9999931454658508,0.0
46.0,0.020070914179086685,0.007329554762691259,0.46,0.000512175727635622,0.9999923706054688,0.0
47.0,0.019352082163095474,0.007250100374221802,0.47,0.00047699056449346244,0.9999971985816956,0.0
48.0,0.018748629838228226,0.0071433247067034245,0.48,0.00045117977424524724,0.9999991059303284,0.0
49.0,0.017870591953396797,0.0070152683183550835,0.49,0.00043243126128800213,0.9999940991401672,0.0
50.0,0.017427343875169754,0.006875878199934959,0.5,0.0004190031031612307,0.9999921917915344,0.0
51.0,0.016633065417408943,0.006718657910823822,0.51,0.0004087118140887469,0.9999963641166687,0.0
52.0,0.015905391424894333,0.006550408899784088,0.52,0.00040205896948464215,0.9999992251396179,0.0
53.0,0.015079949982464314,0.006380842998623848,0.53,0.0003976604202762246,0.9999962449073792,0.0
54.0,0.014454452320933342,0.006213085725903511,0.54,0.00039400599780492485,0.9999958276748657,0.0
55.0,0.013754324056208134,0.006045606918632984,0.55,0.00039060026756487787,0.9999977946281433,0.0
56.0,0.012885386124253273,0.00587715208530426,0.56,0.00038777210284024477,0.9999983310699463,0.0
57.0,0.012151695787906647,0.005710416939109564,0.57,0.00038591865450143814,0.9999949932098389,0.0
58.0,0.011296506971120834,0.00555146299302578,0.58,0.000385227584047243,0.9999942779541016,0.0
59.0,0.010505370795726776,0.005389944184571505,0.59,0.00038587526069022715,0.9999955892562866,0.0
60.0,0.009478013031184673,0.00521498080343008,0.6,0.0003912725951522589,0.9999951124191284,0.0
61.0,0.008629973977804184,0.005018656607717276,0.61,0.000405593920731917,0.9999935030937195,0.0
62.0,0.00775009673088789,0.004794049542397261,0.62,0.0004353301483206451,0.999991774559021,0.0
63.0,0.0068717822432518005,0.004527350887656212,0.63,0.0004922801745124161,0.9999891519546509,0.0
64.0,0.006073126569390297,0.004190993029624224,0.64,0.0006009620265103877,0.9999826550483704,0.0
65.0,0.004906835500150919,0.0037600556388497353,0.65,0.0008216255810111761,0.9999719858169556,0.0
66.0,0.0038996939547359943,0.003278861753642559,0.66,0.00130733591504395,0.9999580383300781,0.0
67.0,0.002901008352637291,0.0029265412595123053,0.67,0.0024441301357001066,0.9999393224716187,0.0
68.0,0.002060776110738516,0.003144217887893319,0.68,0.0049812812358140945,0.9999139308929443,0.0
69.0,0.001363938208669424,0.0038129494059830904,0.69,0.008975089527666569,0.9998754262924194,0.0
70.0,0.0008045476861298084,0.0038200519047677517,0.7,0.012845922261476517,0.9997678995132446,0.0
71.0,0.0005135294049978256,0.003322167554870248,0.71,0.015856169164180756,0.9995588064193726,0.0
72.0,1.1060386896133423e-05,0.003076549619436264,0.72,0.016379039734601974,0.999398410320282,0.0
