scenario,expected_fail_lines,probability
S1,1,0.238333
S2,0,0.226
S3,2,0.186667
S4,3,0.141
S5,4,0.095
S6,5,0.052667
S7,6,0.033
S8,7,0.015333
S9,8,0.008667
S10,9,0.002667
S11,10,0.000333
S12,12,0.000333
