epoch,train_mse,val_mse,warmup_scale,train_gate_reg,train_attn_entropy
1.0,0.22291354835033417,0.1972144991159439,0.01,0.23183222115039825,0.999968409538269
2.0,0.2082403004169464,0.17136940360069275,0.02,0.01598438248038292,0.999884307384491
3.0,0.19600895047187805,0.15036629140377045,0.03,0.001943704322911799,0.9998029470443726
4.0,0.18536289036273956,0.13245093822479248,0.04,0.00028589923749677837,0.9996980428695679
5.0,0.1745424121618271,0.11686597764492035,0.05,6.401228893082589e-05,0.9992378354072571
6.0,0.16391447186470032,0.10300447791814804,0.06,2.4069737264653668e-05,0.9994296431541443
7.0,0.1542203426361084,0.0899096429347992,0.07,1.752977004798595e-05,0.9990973472595215
8.0,0.1412816047668457,0.07372532784938812,0.08,3.009762986039277e-05,0.9984651803970337
9.0,0.13015130162239075,0.042833536863327026,0.09,0.00014642905443906784,0.998141884803772
10.0,0.11521008610725403,0.03934943675994873,0.1,0.00278025702573359,0.999602735042572
11.0,0.09971408545970917,0.03958937153220177,0.11,0.0009412178187631071,0.9983798265457153
12.0,0.09284166991710663,0.05194917693734169,0.12,0.0808606892824173,0.9994277358055115
13.0,0.0671217143535614,0.0580461286008358,0.13,2.3893462639534846e-05,0.9994027614593506
14.0,0.05553519353270531,0.05617764592170715,0.14,3.461045423591713e-07,0.9989671111106873
15.0,0.046138204634189606,0.051234208047389984,0.15,4.0151221014639304e-08,0.9998786449432373
16.0,0.03694077953696251,0.04331221804022789,0.16,1.060992893542334e-08,0.9996323585510254
17.0,0.027580033987760544,0.033355679363012314,0.17,4.008625875684402e-09,0.9993696212768555
18.0,0.019456973299384117,0.023358821868896484,0.18,1.8072526808410316e-09,0.9998423457145691
19.0,0.012014836072921753,0.015100647695362568,0.19,9.061084660366703e-10,0.9998712539672852
20.0,0.006902042310684919,0.009283590130507946,0.2,4.905851280767592e-10,0.9995630979537964
21.0,0.0023186574690043926,0.005772773642092943,0.21,2.8266347595895525e-10,0.9997282028198242
22.0,-0.0004678834229707718,0.003913844004273415,0.22,1.7175830202553755e-10,0.9999491572380066
23.0,-0.0018165882211178541,0.00308002857491374,0.23,1.0935929245503573e-10,0.9998121857643127
24.0,-0.0022786161862313747,0.0027820973191410303,0.24,7.258598583304021e-11,0.9997112154960632
25.0,-0.00284578837454319,0.0027146092616021633,0.25,5.0008767960019185e-11,0.9998989701271057
26.0,-0.002850905293598771,0.0027365717105567455,0.26,3.5631199379881906e-11,0.9999629855155945
27.0,-0.002246527699753642,0.0027518952265381813,0.27,2.617040611996302e-11,0.9998134970664978
28.0,-0.0031742751598358154,0.0027568878140300512,0.28,1.9758805702707605e-11,0.9998263716697693
29.0,-0.0032687042839825153,0.002746017649769783,0.29,1.529650017761952e-11,0.9999848008155823
30.0,-0.002643662504851818,0.002705708844587207,0.3,1.2114764920412302e-11,0.9999414682388306
31.0,-0.003454948542639613,0.002643332350999117,0.31,9.795554124780725e-12,0.9998465180397034
32.0,-0.00287194293923676,0.002540877554565668,0.32,8.070959699180147e-12,0.9999349117279053
33.0,-0.0035304934717714787,0.0024188468232750893,0.33,6.765222930471548e-12,0.9999872446060181
34.0,-0.0035266554914414883,0.0022697702515870333,0.34,5.760459817483188e-12,0.9999328255653381
35.0,-0.0039978474378585815,0.002098581986501813,0.35,4.97568826418604e-12,0.9999111294746399
36.0,-0.0035203390289098024,0.0019070481648668647,0.36,4.354302075154637e-12,0.9999650716781616
37.0,-0.003728901967406273,0.001703843241557479,0.37,3.856092528620181e-12,0.9999925494194031
38.0,-0.003649490885436535,0.0015217462787404656,0.38,3.452110125534702e-12,0.9999452829360962
39.0,-0.003669905010610819,0.0013500413624569774,0.39,3.1211803974695584e-12,0.9999416470527649
40.0,-0.003719574771821499,0.001219057710841298,0.4,2.8475065187716364e-12,0.9999918341636658
41.0,-0.003655417822301388,0.0011235628044232726,0.41,2.6192678668351954e-12,0.9999871253967285
42.0,-0.0033653369173407555,0.001043948344886303,0.42,2.4274863803103175e-12,0.9999563694000244
43.0,-0.0036167288199067116,0.0009854158852249384,0.43,2.2652602450073944e-12,0.9999707341194153
44.0,-0.003203439526259899,0.0009649866842664778,0.44,2.127181243649634e-12,0.9999955892562866
45.0,-0.003582497127354145,0.0009543087217025459,0.45,2.0089292642605505e-12,0.9999867677688599
46.0,-0.003213972318917513,0.0009606413659639657,0.46,1.9070511229207776e-12,0.9999707937240601
