scenario,expected_fail_lines,probability
S1,1,0.254
S2,0,0.238667
S3,2,0.193333
S4,3,0.130667
S5,4,0.078333
S6,5,0.052333
S7,6,0.028
S8,7,0.014333
S9,8,0.005667
S10,9,0.004333
S11,10,0.000333
