scenario,expected_fail_lines,probability
S1,6,0.071
S2,7,0.068
S3,5,0.066333
S4,8,0.063667
S5,4,0.063
S6,9,0.062333
S7,3,0.059333
S8,10,0.058
S9,2,0.054
S10,11,0.052
S11,12,0.051667
S12,13,0.039333
S13,1,0.039
S14,14,0.036
S15,15,0.029333
S16,16,0.029333
S17,17,0.028
S18,0,0.021333
S19,19,0.018
S20,18,0.017667
S21,22,0.013333
S22,20,0.012667
S23,21,0.010333
S24,23,0.008667
S25,24,0.005
S26,25,0.005
S27,26,0.004
S28,27,0.003333
S29,28,0.002667
S30,30,0.002
S31,31,0.001333
S32,29,0.000667
S33,32,0.000667
S34,33,0.000667
S35,35,0.000667
S36,38,0.000667
S37,34,0.000333
S38,36,0.000333
S39,39,0.000333
