epoch,train_mse,val_mse,warmup_scale,train_gate_reg,train_attn_entropy,train_rank_loss,train_fp_loss
1.0,0.23557068407535553,0.07568251341581345,0.01,0.013962674885988235,0.9997938275337219,0.0,0.2062501162290573
2.0,0.08462478965520859,0.02810562215745449,0.02,0.0058027999475598335,0.9999964237213135,0.0,0.0661536157131195
3.0,0.045679423958063126,0.011131464503705502,0.03,0.002926045563071966,0.9999093413352966,0.0,0.02430013194680214
4.0,0.035352449864149094,0.004986633080989122,0.04,0.0014858134090900421,0.9998570084571838,0.0,0.009617147967219353
5.0,0.03355308622121811,0.002608776092529297,0.05,0.0007669590413570404,0.9999504685401917,0.0,0.004226714838296175
6.0,0.0334937758743763,0.0016257469542324543,0.06,0.0004010647826362401,0.9999580979347229,0.0,0.002165059093385935
7.0,0.03426323086023331,0.0012183442013338208,0.07,0.00021713049500249326,0.9998725056648254,0.0,0.0013364085461944342
8.0,0.03448425233364105,0.0011129060294479132,0.08,0.00012613261060323566,0.9999487996101379,0.0,0.0009810228366404772
9.0,0.03465938940644264,0.0012456781696528196,0.09,8.138515113387257e-05,0.9999912977218628,0.0,0.0008868886507116258
10.0,0.03453749790787697,0.0017025023698806763,0.1,5.9980153309879825e-05,0.9999640583992004,0.0,0.001018732087686658
11.0,0.03407638520002365,0.002778239781036973,0.11,5.142805093782954e-05,0.9999767541885376,0.0,0.00139969727024436
12.0,0.03357008844614029,0.005002692807465792,0.12,5.1506100135156885e-05,0.9999920129776001,0.0,0.002324812114238739
13.0,0.033334434032440186,0.007870880886912346,0.13,5.805823457194492e-05,0.9999836683273315,0.0,0.0042134979739785194
14.0,0.033955663442611694,0.007806241977959871,0.14,6.132847192930058e-05,0.9999729990959167,0.0,0.006672953255474567
15.0,0.0337238647043705,0.005707043223083019,0.15,4.457824252313003e-05,0.9999841451644897,0.0,0.006588816177099943
16.0,0.03323725610971451,0.003901534480974078,0.16,2.5546063625370152e-05,0.9999923706054688,0.0,0.004786246456205845
17.0,0.03314131870865822,0.002907296409830451,0.17,1.41563223223784e-05,0.999985933303833,0.0,0.0032320981845259666
18.0,0.033229753375053406,0.002517819171771407,0.18,8.621366760053206e-06,0.9999756813049316,0.0,0.002378087257966399
