metapath_topk,hidden_dim,epochs,lr,weight_decay,train_ratio,runs,success_runs,delta_val_mae_mean,delta_val_mae_std,delta_horizon_mae_mean,delta_horizon_mae_std,delta_best_val_mse_mean,delta_best_val_mse_std,metapath_val_mae_mean,baseline_val_mae_mean,metapath_horizon_mae_mean,baseline_horizon_mae_mean,val_mae_win_rate,horizon_mae_win_rate
3,80,700,0.0045,0.0003,0.7,2,2,0.012917056047555137,0.004261324553651582,0.029950125267108302,0.012224594950863768,-0.006724745035171509,0.003495048486190104,0.34249369763966764,0.35541075368722275,0.15206706979208517,0.1820171950591935,1.0,1.0
5,80,700,0.0045,0.0003,0.7,2,2,0.012915011608239352,0.004258760748084823,0.029946450144052533,0.01221889295055854,-0.006723940372467055,0.0034935733464922423,0.34249574207898337,0.35541075368722275,0.15207074491514094,0.1820171950591935,1.0,1.0
4,80,700,0.0045,0.0003,0.7,2,2,0.012914369774587181,0.004257469905060897,0.02994469718800649,0.012215819391630854,-0.006723485887050601,0.003492719872809916,0.3424963839126356,0.35541075368722275,0.15207249787118698,0.1820171950591935,1.0,1.0
3,80,700,0.0055,0.0003,0.7,2,2,0.012396455262646572,0.004448690667625777,0.028624697195159088,0.011794637973390107,-0.007515840232372298,0.003739826845629347,0.3347944350856723,0.34719089034831885,0.13529015481472012,0.1639148520098792,1.0,1.0
5,80,700,0.0055,0.0003,0.7,2,2,0.01239446826053392,0.004446377699666544,0.02862117911378545,0.011789368095356688,-0.007514923810958848,0.0037381936552495104,0.33479642208778493,0.34719089034831885,0.13529367289609373,0.1639148520098792,1.0,1.0
4,80,700,0.0055,0.0003,0.7,2,2,0.012393464915680219,0.004444565640616092,0.02861855477094649,0.011785118873504793,-0.007514141499996199,0.0037368344193851127,0.3347974254326387,0.34719089034831885,0.13529629723893272,0.1639148520098792,1.0,1.0
