scenario,expected_fail_lines,probability
S1,5,0.077333
S2,4,0.077
S3,6,0.071667
S4,3,0.071
S5,7,0.068
S6,2,0.060667
S7,9,0.053667
S8,8,0.053333
S9,1,0.052
S10,10,0.050333
S11,11,0.043333
S12,0,0.039667
S13,12,0.036667
S14,13,0.029
S15,14,0.028
S16,16,0.026333
S17,15,0.025
S18,18,0.019667
S19,17,0.019333
S20,20,0.013667
S21,19,0.012667
S22,21,0.012
S23,22,0.009333
S24,23,0.008
S25,26,0.007333
S26,25,0.005667
S27,24,0.005333
S28,27,0.004333
S29,28,0.004333
S30,31,0.004
S31,29,0.003333
S32,30,0.001667
S33,35,0.001333
S34,32,0.001
S35,37,0.001
S36,33,0.000667
S37,34,0.000667
S38,36,0.000333
S39,38,0.000333
S40,39,0.000333
S41,40,0.000333
S42,42,0.000333
