scenario,expected_fail_lines,probability
S1,0,0.273333
S2,1,0.232667
S3,2,0.175333
S4,3,0.124333
S5,4,0.085333
S6,5,0.049
S7,6,0.034333
S8,7,0.016
S9,8,0.005333
S10,9,0.002
S11,10,0.002
S12,11,0.000333
