epoch,train_mse,val_mse,warmup_scale,train_gate_reg,train_attn_entropy,train_rank_loss
1.0,0.2470162808895111,0.1944839507341385,0.01,0.24262283742427826,0.999968409538269,0.0
2.0,0.22844494879245758,0.17393140494823456,0.02,0.03613628074526787,0.9996932148933411,0.0
3.0,0.21272329986095428,0.1332920491695404,0.03,0.007357168942689896,0.9999266266822815,0.0
4.0,0.19804422557353973,0.06063161790370941,0.04,0.008189067244529724,0.9997495412826538,0.0
5.0,0.17997080087661743,0.0591108463704586,0.05,0.04673764854669571,0.9998143315315247,0.0
6.0,0.16541965305805206,0.060729142278432846,0.06,0.2730861306190491,0.9998225569725037,0.0
7.0,0.15308724343776703,0.05885973200201988,0.07,0.23612236976623535,0.9990292191505432,0.0
8.0,0.13792338967323303,0.04957723617553711,0.08,0.08147266507148743,0.9995083212852478,0.0
9.0,0.12451259046792984,0.046773627400398254,0.09,0.016854463145136833,0.998802900314331,0.0
10.0,0.11020036041736603,0.04460560157895088,0.1,0.004644471686333418,0.9998133182525635,0.0
11.0,0.094660684466362,0.03823408856987953,0.11,0.0021550487726926804,0.9992430210113525,0.0
12.0,0.07978777587413788,0.03232036903500557,0.12,0.0017977016977965832,0.9994983077049255,0.0
13.0,0.062267400324344635,0.04089805856347084,0.13,0.00278795906342566,0.9997683763504028,0.0
14.0,0.04556366801261902,0.043627094477415085,0.14,0.008109263144433498,0.9992212653160095,0.0
15.0,0.03128588944673538,0.015745781362056732,0.15,0.012494314461946487,0.9995435476303101,0.0
16.0,0.020800858736038208,0.015021863393485546,0.16,0.0032728896476328373,0.9994356036186218,0.0
17.0,0.0098530612885952,0.03807663172483444,0.17,0.007566447369754314,0.9996467232704163,0.0
18.0,0.015384983271360397,0.00565293850377202,0.18,0.05530346930027008,0.9997538924217224,0.0
19.0,0.0038406439125537872,0.007457513827830553,0.19,0.005730873439460993,0.9995809197425842,0.0
20.0,0.008456498384475708,0.005283266305923462,0.2,0.0015731514431536198,0.999719500541687,0.0
21.0,0.0066831037402153015,0.002031744224950671,0.21,0.0016673679929226637,0.9999786019325256,0.0
22.0,-3.662751987576485e-05,0.006557992193847895,0.22,0.004022261127829552,0.999683141708374,0.0
23.0,-0.0037482173647731543,0.031133316457271576,0.23,0.012614727951586246,0.9998080134391785,0.0
24.0,-0.0017039161175489426,0.041464630514383316,0.24,0.030647577717900276,0.9999277591705322,0.0
25.0,4.825787618756294e-05,0.030897637829184532,0.25,0.040910400450229645,0.9998487234115601,0.0
26.0,-0.0021201481577008963,0.010507827624678612,0.26,0.03143125772476196,0.9997596740722656,0.0
27.0,-0.0038185911253094673,0.0042861951515078545,0.27,0.018254948779940605,0.999970555305481,0.0
28.0,-0.003963549621403217,0.0023948082234710455,0.28,0.009873497299849987,0.9999262094497681,0.0
29.0,-0.002774447901174426,0.0015908381901681423,0.29,0.005929118487983942,0.999873161315918,0.0
30.0,-0.002061684150248766,0.0014623886672779918,0.3,0.004481458570808172,0.9999215602874756,0.0
31.0,-0.0020862380042672157,0.0018346755532547832,0.31,0.004166428931057453,0.9999896883964539,0.0
32.0,-0.002796552609652281,0.002629408845677972,0.32,0.004650227725505829,0.9999244809150696,0.0
33.0,-0.0032024087850004435,0.003670853329822421,0.33,0.005848501343280077,0.9999404549598694,0.0
34.0,-0.003628272097557783,0.004742697346955538,0.34,0.007844059728085995,0.9999678730964661,0.0
35.0,-0.0038269339129328728,0.005628400947898626,0.35,0.010754602961242199,0.9999805092811584,0.0
36.0,-0.0035294005647301674,0.006090538110584021,0.36,0.013905134052038193,0.9999377131462097,0.0
37.0,-0.002842837478965521,0.005878936033695936,0.37,0.015490259975194931,0.9999671578407288,0.0
38.0,-0.0029218869749456644,0.005373494233936071,0.38,0.014788818545639515,0.999994158744812,0.0
39.0,-0.0030333716422319412,0.004654326010495424,0.39,0.012708784081041813,0.9999593496322632,0.0
40.0,-0.0033331916201859713,0.0038318040315061808,0.4,0.00978043768554926,0.9999614953994751,0.0
