method,mae_empirical_vs_input_probability,high_risk_threshold,high_risk_coverage,high_risk_event_rate,low_risk_event_rate,risk_lift_ratio,avg_outage_rate,multi_line_event_rate_ge2,severe_multi_line_event_rate_ge4,avg_disconnected_loads,max_disconnected_loads,multi_load_event_rate_ge2,severe_multi_load_event_rate_ge4,scenario_diversity_hamming
wang_qmc,0.24121806117068662,8.151126689170955e-08,0.37037037037037035,0.26164641203703703,0.24545074588477367,1.0659833649878838,0.2470703125,0.9166666666666666,0.6695963541666666,0.0,0,0.0,0.0,0.08276532835356366
wang_mc,0.24288906811513106,8.151126689170955e-08,0.37037037037037035,0.2630931712962963,0.2471386316872428,1.0645570443606087,0.24873408564814814,0.9166666666666666,0.6731228298611112,0.0,0,0.0,0.0,0.08118412179686693
trim_ref,0.0005085626062073274,8.151126689170955e-08,0.16666666666666666,0.062427662037037035,8.037551440329219e-06,7766.999999999999,0.00625,0.023546006944444444,0.009385850694444444,5.425347222222222e-05,1,0.0,0.0,0.0023974219317356585
c3po_ref,0.00013310116266121105,8.151126689170955e-08,0.1388888888888889,0.05931712962962963,0.0,5931712.962962963,0.005931712962962963,0.021267361111111112,0.010145399305555556,0.0,0,0.0,0.0,0.00247989936715427
