scenario,warning_strategy,top_k,alpha_max,critical_load_beta,returncode,wall_runtime_sec,run_dir,log,line_risk_csv,dispatch_cost,eens,load_shedding,critical_load_supply_rate,overload_count,max_loading_ratio,dispatch_runtime_sec,source
S3_reserve_minus40,no_warning,20,0.1,1.0,0,1479.1569018363953,result_final/six_pdf_experiments/dispatch_runs/S3_reserve_minus40/no_warning_top20_alpha0p10_beta1p00,result_final/six_pdf_experiments/logs/S3_reserve_minus40_no_warning_top20_alpha0p10_beta1p00plog,,122433.12307470702,15.032311365112848,15.032311365112848,0.7610627886956355,0,5.698068079357088e-05,1476.728007800004,result_final/six_pdf_experiments/dispatch_runs/S3_reserve_minus40/no_warning_top20_alpha0p10_beta1p00/dispatch_model_comparison.csv
S3_reserve_minus40,failure_prior,20,0.1,1.0,0,1482.4824965000153,result_final/six_pdf_experiments/dispatch_runs/S3_reserve_minus40/failure_prior_top20_alpha0p10_beta1p00,result_final/six_pdf_experiments/logs/S3_reserve_minus40_failure_prior_top20_alpha0p10_beta1p00plog,result_final/six_pdf_experiments/inputs/S3_reserve_minus40_failure_prior_top20_alpha0p10pcsv,108182.85778103878,4.108748863281988,4.108748863281988,0.9094722256187192,0,9.243065990005124e-05,1479.7846988000674,result_final/six_pdf_experiments/dispatch_runs/S3_reserve_minus40/failure_prior_top20_alpha0p10_beta1p00/dispatch_model_comparison.csv
S3_reserve_minus40,mlp,20,0.1,1.0,0,1489.9707684516907,result_final/six_pdf_experiments/dispatch_runs/S3_reserve_minus40/mlp_top20_alpha0p10_beta1p00,result_final/six_pdf_experiments/logs/S3_reserve_minus40_mlp_top20_alpha0p10_beta1p00plog,result_final/six_pdf_experiments/inputs/S3_reserve_minus40_mlp_top20_alpha0p10pcsv,108182.85778103878,4.108748863281988,4.108748863281988,0.9094722256187192,0,9.243065990005124e-05,1487.3885354999802,result_final/six_pdf_experiments/dispatch_runs/S3_reserve_minus40/mlp_top20_alpha0p10_beta1p00/dispatch_model_comparison.csv
S3_reserve_minus40,metapath_v1,20,0.1,1.0,1073807364,1227.5345091819763,result_final/six_pdf_experiments/dispatch_runs/S3_reserve_minus40/metapath_v1_top20_alpha0p10_beta1p00,result_final/six_pdf_experiments/logs/S3_reserve_minus40_metapath_v1_top20_alpha0p10_beta1p00plog,result_final/six_pdf_experiments/inputs/S3_reserve_minus40_metapath_v1_top20_alpha0p10pcsv,,,,,,,,
S3_reserve_minus40,oracle,20,0.1,1.0,3221226091,2.881218433380127,result_final/six_pdf_experiments/dispatch_runs/S3_reserve_minus40/oracle_top20_alpha0p10_beta1p00,result_final/six_pdf_experiments/logs/S3_reserve_minus40_oracle_top20_alpha0p10_beta1p00plog,result_final/six_pdf_experiments/inputs/S3_reserve_minus40_oracle_top20_alpha0p10pcsv,,,,,,,,
S4_high_risk_n1_outage,no_warning,20,0.1,1.0,3221226091,0.14288663864135742,result_final/six_pdf_experiments/dispatch_runs/S4_high_risk_n1_outage/no_warning_top20_alpha0p10_beta1p00,result_final/six_pdf_experiments/logs/S4_high_risk_n1_outage_no_warning_top20_alpha0p10_beta1p00plog,,,,,,,,,
S4_high_risk_n1_outage,failure_prior,20,0.1,1.0,3221226091,0.14246296882629395,result_final/six_pdf_experiments/dispatch_runs/S4_high_risk_n1_outage/failure_prior_top20_alpha0p10_beta1p00,result_final/six_pdf_experiments/logs/S4_high_risk_n1_outage_failure_prior_top20_alpha0p10_beta1p00plog,result_final/six_pdf_experiments/inputs/S4_high_risk_n1_outage_failure_prior_top20_alpha0p10pcsv,,,,,,,,
S4_high_risk_n1_outage,mlp,20,0.1,1.0,3221226091,0.12926363945007324,result_final/six_pdf_experiments/dispatch_runs/S4_high_risk_n1_outage/mlp_top20_alpha0p10_beta1p00,result_final/six_pdf_experiments/logs/S4_high_risk_n1_outage_mlp_top20_alpha0p10_beta1p00plog,result_final/six_pdf_experiments/inputs/S4_high_risk_n1_outage_mlp_top20_alpha0p10pcsv,,,,,,,,
S4_high_risk_n1_outage,metapath_v1,20,0.1,1.0,3221226091,0.14208221435546875,result_final/six_pdf_experiments/dispatch_runs/S4_high_risk_n1_outage/metapath_v1_top20_alpha0p10_beta1p00,result_final/six_pdf_experiments/logs/S4_high_risk_n1_outage_metapath_v1_top20_alpha0p10_beta1p00plog,result_final/six_pdf_experiments/inputs/S4_high_risk_n1_outage_metapath_v1_top20_alpha0p10pcsv,,,,,,,,
S4_high_risk_n1_outage,oracle,20,0.1,1.0,3221226091,0.13691306114196777,result_final/six_pdf_experiments/dispatch_runs/S4_high_risk_n1_outage/oracle_top20_alpha0p10_beta1p00,result_final/six_pdf_experiments/logs/S4_high_risk_n1_outage_oracle_top20_alpha0p10_beta1p00plog,result_final/six_pdf_experiments/inputs/S4_high_risk_n1_outage_oracle_top20_alpha0p10pcsv,,,,,,,,
S5_combined_load20_linecap20,no_warning,20,0.1,1.0,3221226091,0.15764927864074707,result_final/six_pdf_experiments/dispatch_runs/S5_combined_load20_linecap20/no_warning_top20_alpha0p10_beta1p00,result_final/six_pdf_experiments/logs/S5_combined_load20_linecap20_no_warning_top20_alpha0p10_beta1p00plog,,,,,,,,,
S5_combined_load20_linecap20,failure_prior,20,0.1,1.0,3221226091,0.14248371124267578,result_final/six_pdf_experiments/dispatch_runs/S5_combined_load20_linecap20/failure_prior_top20_alpha0p10_beta1p00,result_final/six_pdf_experiments/logs/S5_combined_load20_linecap20_failure_prior_top20_alpha0p10_beta1p00plog,result_final/six_pdf_experiments/inputs/S5_combined_load20_linecap20_failure_prior_top20_alpha0p10pcsv,,,,,,,,
S5_combined_load20_linecap20,mlp,20,0.1,1.0,3221226091,0.12633275985717773,result_final/six_pdf_experiments/dispatch_runs/S5_combined_load20_linecap20/mlp_top20_alpha0p10_beta1p00,result_final/six_pdf_experiments/logs/S5_combined_load20_linecap20_mlp_top20_alpha0p10_beta1p00plog,result_final/six_pdf_experiments/inputs/S5_combined_load20_linecap20_mlp_top20_alpha0p10pcsv,,,,,,,,
S5_combined_load20_linecap20,metapath_v1,20,0.1,1.0,3221226091,0.14316105842590332,result_final/six_pdf_experiments/dispatch_runs/S5_combined_load20_linecap20/metapath_v1_top20_alpha0p10_beta1p00,result_final/six_pdf_experiments/logs/S5_combined_load20_linecap20_metapath_v1_top20_alpha0p10_beta1p00plog,result_final/six_pdf_experiments/inputs/S5_combined_load20_linecap20_metapath_v1_top20_alpha0p10pcsv,,,,,,,,
S5_combined_load20_linecap20,oracle,20,0.1,1.0,3221226091,0.14214134216308594,result_final/six_pdf_experiments/dispatch_runs/S5_combined_load20_linecap20/oracle_top20_alpha0p10_beta1p00,result_final/six_pdf_experiments/logs/S5_combined_load20_linecap20_oracle_top20_alpha0p10_beta1p00plog,result_final/six_pdf_experiments/inputs/S5_combined_load20_linecap20_oracle_top20_alpha0p10pcsv,,,,,,,,
