scenario,warning_strategy,top_k,alpha_max,critical_load_beta,returncode,wall_runtime_sec,run_dir,log,line_risk_csv
S5_combined_load20_linecap20_sensitivity,metapath_v1,10,0.05,0.5,3221226091,0.12674999237060547,result_final/six_pdf_experiments/dispatch_runs/S5_combined_load20_linecap20_sensitivity/metapath_v1_top10_alpha0p05_beta0p50,result_final/six_pdf_experiments/logs/S5_combined_load20_linecap20_sensitivity_metapath_v1_top10_alpha0p05_beta0p50plog,result_final/six_pdf_experiments/inputs/S5_combined_load20_linecap20_sensitivity_metapath_v1_top10_alpha0p05pcsv
S5_combined_load20_linecap20_sensitivity,metapath_v1,10,0.05,1.0,3221226091,0.1425309181213379,result_final/six_pdf_experiments/dispatch_runs/S5_combined_load20_linecap20_sensitivity/metapath_v1_top10_alpha0p05_beta1p00,result_final/six_pdf_experiments/logs/S5_combined_load20_linecap20_sensitivity_metapath_v1_top10_alpha0p05_beta1p00plog,result_final/six_pdf_experiments/inputs/S5_combined_load20_linecap20_sensitivity_metapath_v1_top10_alpha0p05pcsv
S5_combined_load20_linecap20_sensitivity,metapath_v1,10,0.05,2.0,3221226091,0.14298057556152344,result_final/six_pdf_experiments/dispatch_runs/S5_combined_load20_linecap20_sensitivity/metapath_v1_top10_alpha0p05_beta2p00,result_final/six_pdf_experiments/logs/S5_combined_load20_linecap20_sensitivity_metapath_v1_top10_alpha0p05_beta2p00plog,result_final/six_pdf_experiments/inputs/S5_combined_load20_linecap20_sensitivity_metapath_v1_top10_alpha0p05pcsv
S5_combined_load20_linecap20_sensitivity,metapath_v1,10,0.1,0.5,3221226091,0.14744257926940918,result_final/six_pdf_experiments/dispatch_runs/S5_combined_load20_linecap20_sensitivity/metapath_v1_top10_alpha0p10_beta0p50,result_final/six_pdf_experiments/logs/S5_combined_load20_linecap20_sensitivity_metapath_v1_top10_alpha0p10_beta0p50plog,result_final/six_pdf_experiments/inputs/S5_combined_load20_linecap20_sensitivity_metapath_v1_top10_alpha0p10pcsv
S5_combined_load20_linecap20_sensitivity,metapath_v1,10,0.1,1.0,3221226091,0.15296101570129395,result_final/six_pdf_experiments/dispatch_runs/S5_combined_load20_linecap20_sensitivity/metapath_v1_top10_alpha0p10_beta1p00,result_final/six_pdf_experiments/logs/S5_combined_load20_linecap20_sensitivity_metapath_v1_top10_alpha0p10_beta1p00plog,result_final/six_pdf_experiments/inputs/S5_combined_load20_linecap20_sensitivity_metapath_v1_top10_alpha0p10pcsv
S5_combined_load20_linecap20_sensitivity,metapath_v1,10,0.1,2.0,3221226091,0.14576244354248047,result_final/six_pdf_experiments/dispatch_runs/S5_combined_load20_linecap20_sensitivity/metapath_v1_top10_alpha0p10_beta2p00,result_final/six_pdf_experiments/logs/S5_combined_load20_linecap20_sensitivity_metapath_v1_top10_alpha0p10_beta2p00plog,result_final/six_pdf_experiments/inputs/S5_combined_load20_linecap20_sensitivity_metapath_v1_top10_alpha0p10pcsv
S5_combined_load20_linecap20_sensitivity,metapath_v1,10,0.15,0.5,3221226091,0.15013694763183594,result_final/six_pdf_experiments/dispatch_runs/S5_combined_load20_linecap20_sensitivity/metapath_v1_top10_alpha0p15_beta0p50,result_final/six_pdf_experiments/logs/S5_combined_load20_linecap20_sensitivity_metapath_v1_top10_alpha0p15_beta0p50plog,result_final/six_pdf_experiments/inputs/S5_combined_load20_linecap20_sensitivity_metapath_v1_top10_alpha0p15pcsv
S5_combined_load20_linecap20_sensitivity,metapath_v1,10,0.15,1.0,3221226091,0.12697315216064453,result_final/six_pdf_experiments/dispatch_runs/S5_combined_load20_linecap20_sensitivity/metapath_v1_top10_alpha0p15_beta1p00,result_final/six_pdf_experiments/logs/S5_combined_load20_linecap20_sensitivity_metapath_v1_top10_alpha0p15_beta1p00plog,result_final/six_pdf_experiments/inputs/S5_combined_load20_linecap20_sensitivity_metapath_v1_top10_alpha0p15pcsv
S5_combined_load20_linecap20_sensitivity,metapath_v1,10,0.15,2.0,3221226091,0.13976597785949707,result_final/six_pdf_experiments/dispatch_runs/S5_combined_load20_linecap20_sensitivity/metapath_v1_top10_alpha0p15_beta2p00,result_final/six_pdf_experiments/logs/S5_combined_load20_linecap20_sensitivity_metapath_v1_top10_alpha0p15_beta2p00plog,result_final/six_pdf_experiments/inputs/S5_combined_load20_linecap20_sensitivity_metapath_v1_top10_alpha0p15pcsv
S5_combined_load20_linecap20_sensitivity,metapath_v1,20,0.05,0.5,3221226091,0.13044166564941406,result_final/six_pdf_experiments/dispatch_runs/S5_combined_load20_linecap20_sensitivity/metapath_v1_top20_alpha0p05_beta0p50,result_final/six_pdf_experiments/logs/S5_combined_load20_linecap20_sensitivity_metapath_v1_top20_alpha0p05_beta0p50plog,result_final/six_pdf_experiments/inputs/S5_combined_load20_linecap20_sensitivity_metapath_v1_top20_alpha0p05pcsv
