line,hour,failure_prob
L0,2024-09-01 00:00:00,1.0
L1,2024-09-01 00:00:00,1.0
L2,2024-09-01 00:00:00,0.9999999908033856
L3,2024-09-01 00:00:00,0.9999999973929352
L4,2024-09-01 00:00:00,1.0
L5,2024-09-01 00:00:00,1.0
L6,2024-09-01 00:00:00,0.9999952268239144
L7,2024-09-01 00:00:00,0.9999999999641848
L8,2024-09-01 00:00:00,0.9999959150040792
L9,2024-09-01 00:00:00,1.0
L10,2024-09-01 00:00:00,1.0
L11,2024-09-01 00:00:00,1.0
L12,2024-09-01 00:00:00,0.9999981879588096
L13,2024-09-01 00:00:00,0.9999998546655658
L14,2024-09-01 00:00:00,1.0
L0,2024-09-01 01:00:00,1.0
L1,2024-09-01 01:00:00,1.0
L2,2024-09-01 01:00:00,0.9999999819122396
L3,2024-09-01 01:00:00,0.9999999959595132
L4,2024-09-01 01:00:00,1.0
L5,2024-09-01 01:00:00,1.0
L6,2024-09-01 01:00:00,0.9999924330292036
L7,2024-09-01 01:00:00,0.9999999999299408
L8,2024-09-01 01:00:00,0.9999943502287988
L9,2024-09-01 01:00:00,1.0
L10,2024-09-01 01:00:00,1.0
L11,2024-09-01 01:00:00,1.0
L12,2024-09-01 01:00:00,0.9999976895287122
L13,2024-09-01 01:00:00,0.9999997686298172
L14,2024-09-01 01:00:00,1.0
L0,2024-09-01 02:00:00,1.0
L1,2024-09-01 02:00:00,1.0
L2,2024-09-01 02:00:00,0.9999999596217344
L3,2024-09-01 02:00:00,0.9999999929781164
L4,2024-09-01 02:00:00,1.0
L5,2024-09-01 02:00:00,1.0
L6,2024-09-01 02:00:00,0.999986917932172
L7,2024-09-01 02:00:00,0.9999999998401564
L8,2024-09-01 02:00:00,0.9999915653864268
L9,2024-09-01 02:00:00,0.9999999999999988
L10,2024-09-01 02:00:00,0.999999999999932
L11,2024-09-01 02:00:00,1.0
L12,2024-09-01 02:00:00,0.9999968302665392
L13,2024-09-01 02:00:00,0.9999995926691486
L14,2024-09-01 02:00:00,1.0
L0,2024-09-01 03:00:00,1.0
L1,2024-09-01 03:00:00,1.0
L2,2024-09-01 03:00:00,0.9999998980221502
L3,2024-09-01 03:00:00,0.9999999863352168
L4,2024-09-01 03:00:00,1.0
L5,2024-09-01 03:00:00,1.0
L6,2024-09-01 03:00:00,0.99997537129668
L7,2024-09-01 03:00:00,0.9999999995752508
L8,2024-09-01 03:00:00,0.9999864179751192
L9,2024-09-01 03:00:00,0.9999999999999862
L10,2024-09-01 03:00:00,0.9999999997933388
L11,2024-09-01 03:00:00,0.9999999999999988
L12,2024-09-01 03:00:00,0.9999953223358458
L13,2024-09-01 03:00:00,0.999999208325126
L14,2024-09-01 03:00:00,0.9999999999999998
L0,2024-09-01 04:00:00,1.0
L1,2024-09-01 04:00:00,1.0
L2,2024-09-01 04:00:00,0.999999710369952
L3,2024-09-01 04:00:00,0.9999999703251186
L4,2024-09-01 04:00:00,1.0
L5,2024-09-01 04:00:00,1.0
L6,2024-09-01 04:00:00,0.9999496713917274
L7,2024-09-01 04:00:00,0.9999999986909278
L8,2024-09-01 04:00:00,0.9999764594323376
L9,2024-09-01 04:00:00,0.9999999999998066
L10,2024-09-01 04:00:00,0.1120397881123671
L11,2024-09-01 04:00:00,0.9999999999994696
L12,2024-09-01 04:00:00,0.9999925850803416
L13,2024-09-01 04:00:00,0.999998307477732
L14,2024-09-01 04:00:00,0.9999999999999908
L0,2024-09-01 05:00:00,1.0
L1,2024-09-01 05:00:00,1.0
L2,2024-09-01 05:00:00,0.9999990832804164
L3,2024-09-01 05:00:00,0.9999999284809368
L4,2024-09-01 05:00:00,1.0
L5,2024-09-01 05:00:00,1.0
L6,2024-09-01 05:00:00,0.9998889459899256
L7,2024-09-01 05:00:00,0.9999999953535176
L8,2024-09-01 05:00:00,0.9999562368451592
L9,2024-09-01 05:00:00,0.9999999999965364
L10,2024-09-01 05:00:00,1.6519617586308044e-05
L11,2024-09-01 05:00:00,0.9999999997336764
L12,2024-09-01 05:00:00,0.999987406873949
L13,2024-09-01 05:00:00,0.9999960420290424
L14,2024-09-01 05:00:00,0.9999999999993834
L0,2024-09-01 06:00:00,0.9999999999999688
L1,2024-09-01 06:00:00,1.0
L2,2024-09-01 06:00:00,0.9999968057814842
L3,2024-09-01 06:00:00,0.9999998101354708
L4,2024-09-01 06:00:00,1.0
L5,2024-09-01 06:00:00,0.9999999999999938
L6,2024-09-01 06:00:00,0.999737345659494
L7,2024-09-01 06:00:00,0.9999999811950148
L8,2024-09-01 06:00:00,0.9999131584959464
L9,2024-09-01 06:00:00,0.9999999999236944
L10,2024-09-01 06:00:00,8.41765421144558e-07
L11,2024-09-01 06:00:00,0.2825534901828574
L12,2024-09-01 06:00:00,0.9999771697099265
L13,2024-09-01 06:00:00,0.9999899526823958
L14,2024-09-01 06:00:00,0.9999999999495844
L0,2024-09-01 07:00:00,0.6903759839886916
L1,2024-09-01 07:00:00,1.0
L2,2024-09-01 07:00:00,0.9999879375626588
L3,2024-09-01 07:00:00,0.999999449936068
L4,2024-09-01 07:00:00,1.0
L5,2024-09-01 07:00:00,0.9999999999996408
L6,2024-09-01 07:00:00,0.9993407038834784
L7,2024-09-01 07:00:00,0.9999999143372824
L8,2024-09-01 07:00:00,0.9998171954576858
L9,2024-09-01 07:00:00,0.9999999980355452
L10,2024-09-01 07:00:00,2.427383183345455e-08
L11,2024-09-01 07:00:00,0.0002163657350513
L12,2024-09-01 07:00:00,0.999956022661276
L13,2024-09-01 07:00:00,0.9999725782459992
L14,2024-09-01 07:00:00,0.999999995535214
L0,2024-09-01 08:00:00,0.4504579708588506
L1,2024-09-01 08:00:00,0.5594308943399191
L2,2024-09-01 08:00:00,0.9999515719748546
L3,2024-09-01 08:00:00,0.9999982795875868
L4,2024-09-01 08:00:00,1.0
L5,2024-09-01 08:00:00,0.9999999999751672
L6,2024-09-01 08:00:00,0.9982658222110388
L7,2024-09-01 08:00:00,0.9999995676925096
