policy,Priority,Robustness,Rapidity,Sustainability,TOPSIS_Score,TOPSIS_Rank
priority_with_reserve,0.6691465624392573,0.3518633454612045,0.049787068367863944,0.3409680597879221,1.0,1
uniform_with_reserve,0.3518633454612046,0.3518633454612045,0.049787068367863944,0.34067141907485443,0.3867727240388277,2
priority_no_reserve,0.4135258099523044,0.2270396804787735,0.049787068367863944,0.2290428087478048,0.15955630943908677,3
