scenario,expected_fail_lines,probability
S1,0,0.266667
S2,1,0.229667
S3,2,0.187
S4,3,0.124667
S5,4,0.086333
S6,5,0.050333
S7,6,0.028
S8,7,0.018
S9,8,0.004667
S10,9,0.002667
S11,10,0.001667
S12,11,0.000333
