scenario,expected_fail_lines,probability
S1,7,0.07
S2,6,0.067333
S3,5,0.066667
S4,9,0.063
S5,4,0.061667
S6,10,0.061333
S7,8,0.058667
S8,12,0.057667
S9,3,0.055333
S10,11,0.053667
S11,2,0.047
S12,13,0.041667
S13,1,0.037667
S14,14,0.036333
S15,15,0.036
S16,16,0.027333
S17,17,0.022333
S18,19,0.020333
S19,0,0.019333
S20,20,0.018
S21,18,0.016333
S22,21,0.015
S23,24,0.008
S24,22,0.007667
S25,23,0.007333
S26,25,0.006
S27,27,0.004667
S28,26,0.002667
S29,28,0.002
S30,29,0.002
S31,30,0.001333
S32,31,0.001333
S33,32,0.001
S34,36,0.001
S35,34,0.000667
S36,35,0.000667
S37,38,0.000667
S38,33,0.000333
