load_bus,priority_level,priority_weight,demand_share
1,2,1.0,0.1138477974550155
3,2,1.0,0.1501026036389681
4,2,1.0,0.1012594587817121
5,2,1.0,0.0916834551209865
6,2,1.0,0.1138546168373171
7,2,1.0,0.0602562955625108
8,2,1.0,0.083893182673216
9,2,1.0,0.0775916669846322
10,2,1.0,0.0404507793448917
11,2,1.0,0.0185370526835669
12,2,1.0,0.0559895410403033
13,2,1.0,0.0100353370738977
14,2,1.0,0.0824982128029815
