scenario,expected_fail_lines,probability
S1,7,0.072333
S2,5,0.066
S3,4,0.063667
S4,6,0.063667
S5,11,0.062333
S6,8,0.061
S7,9,0.058667
S8,3,0.057667
S9,10,0.054333
S10,12,0.049667
S11,13,0.049333
S12,2,0.045333
S13,14,0.043
S14,16,0.034667
S15,1,0.033
S16,15,0.032333
S17,17,0.020333
S18,18,0.019667
S19,19,0.019333
S20,20,0.018333
S21,0,0.018
S22,21,0.012667
S23,22,0.008667
S24,23,0.008
S25,24,0.005333
S26,25,0.004667
S27,26,0.003667
S28,29,0.003667
S29,27,0.002667
S30,28,0.002667
S31,31,0.001
S32,33,0.001
S33,34,0.001
S34,30,0.000667
S35,32,0.000667
S36,35,0.000333
S37,36,0.000333
S38,40,0.000333
