epoch,train_mse,val_mse,warmup_scale,train_gate_reg,train_attn_entropy,train_rank_loss,train_fp_loss
1.0,0.35922664403915405,0.09115700423717499,0.01,0.00865640863776207,0.9999700784683228,0.0,0.2900964617729187
2.0,0.10545439273118973,0.02744261547923088,0.02,0.004611599259078503,0.999958872795105,0.0,0.0790163204073906
3.0,0.04720061272382736,0.009113228879868984,0.03,0.0029064349364489317,0.999983549118042,0.0,0.023382380604743958
4.0,0.03523321449756622,0.0036136230919510126,0.04,0.0016286990139633417,0.9999731183052063,0.0,0.0076989890076220036
5.0,0.03384103253483772,0.0017660028534010053,0.05,0.0008642947068437934,0.9999735355377197,0.0,0.0029935231432318687
6.0,0.0343170166015625,0.0010449120309203863,0.06,0.00043927383376285434,0.9999484419822693,0.0,0.0014233712572604418
7.0,0.03493255376815796,0.0007297990377992392,0.07,0.00021893391385674477,0.999993085861206,0.0,0.0008301825146190822
8.0,0.03535108268260956,0.000593517383094877,0.08,0.00011071636981796473,0.9999551177024841,0.0,0.0005605064216069877
9.0,0.03557548671960831,0.0005602706805802882,0.09,5.88159600738436e-05,0.9999858140945435,0.0,0.0004457270842976868
10.0,0.03568148612976074,0.0006148386746644974,0.1,3.3815511415014043e-05,0.9999825358390808,0.0,0.0004210523038636893
11.0,0.03555682674050331,0.0007886189850978553,0.11,2.1595762518700212e-05,0.9999743103981018,0.0,0.00046133410069160163
12.0,0.035311613231897354,0.0011806045658886433,0.12,1.5671825167373754e-05,0.9999977350234985,0.0,0.0006133812130428851
13.0,0.03477208688855171,0.002035505138337612,0.13,1.3147406207281165e-05,0.9999887347221375,0.0,0.0009378057438880205
14.0,0.034314051270484924,0.0037934170104563236,0.14,1.285470170842018e-05,0.99998939037323,0.0,0.0016871275147423148
15.0,0.03398420289158821,0.0062840464524924755,0.15,1.4311192899185698e-05,0.9999997019767761,0.0,0.0031954115256667137
16.0,0.03423492982983589,0.006784721743315458,0.16,1.5542747860308737e-05,0.9999961256980896,0.0,0.005356739275157452
17.0,0.03447847068309784,0.0052728974260389805,0.17,1.2091291864635423e-05,0.9999955892562866,0.0,0.00571704376488924
18.0,0.03384339064359665,0.0036667389795184135,0.18,7.4515965025057085e-06,0.9999964237213135,0.0,0.004387251101434231
19.0,0.03345552831888199,0.002698252908885479,0.19,4.340426130511332e-06,0.9999961256980896,0.0,0.0029737157747149467
20.0,0.03350912034511566,0.0022571103181689978,0.2,2.7190526452613994e-06,0.9999962449073792,0.0,0.002163271652534604
21.0,0.03347090259194374,0.0021854268852621317,0.21,1.9304600300529273e-06,0.9999952912330627,0.0,0.0018057164270430803
22.0,0.03345957398414612,0.0024328166618943214,0.22,1.567852564221539e-06,0.9999964237213135,0.0,0.0017088012536987662
23.0,0.03339960798621178,0.003028988605365157,0.23,1.4458986470344826e-06,0.9999988675117493,0.0,0.0019112980226054788
24.0,0.03302525728940964,0.004055786412209272,0.24,1.4871234270685818e-06,0.9999947547912598,0.0,0.0024002958089113235
25.0,0.03289062902331352,0.0054278261959552765,0.25,1.6618688505332102e-06,0.9999974966049194,0.0,0.0032115248031914234
26.0,0.032614175230264664,0.006553662940859795,0.26,1.9115641407552175e-06,0.9999997019767761,0.0,0.004364815540611744
27.0,0.032824158668518066,0.006560228299349546,0.27,2.0795473574253265e-06,0.9999963641166687,0.0,0.005272442474961281
28.0,0.032454073429107666,0.0056314971297979355,0.28,1.991818635360687e-06,0.9999970197677612,0.0,0.005214989185333252
29.0,0.032213855534791946,0.004566590767353773,0.29,1.726666823742562e-06,0.9999970197677612,0.0,0.004444860387593508
30.0,0.032166317105293274,0.003874746151268482,0.3,1.4623914239564328e-06,0.9999988675117493,0.0,0.003518052166327834
31.0,0.03203456848859787,0.003661727998405695,0.31,1.3029632555117132e-06,0.9999972581863403,0.0,0.002983111422508955
32.0,0.032002247869968414,0.00393323739990592,0.32,1.2683075283348444e-06,0.9999963641166687,0.0,0.002798105124384165
33.0,0.0317956879734993,0.004732666537165642,0.33,1.3628695114675793e-06,0.9999999403953552,0.0,0.002973818453028798
34.0,0.03133470192551613,0.006023937836289406,0.34,1.6003186829038896e-06,0.9999972581863403,0.0,0.003586922539398074
35.0,0.03109165094792843,0.007220335770398378,0.35,1.9825172330456553e-06,0.9999988079071045,0.0,0.004617868456989527
36.0,0.030796607956290245,0.007289024069905281,0.36,2.4372041025344515e-06,0.9999994039535522,0.0,0.005517161451280117
37.0,0.03072129189968109,0.006284480914473534,0.37,2.79888445220422e-06,0.999998927116394,0.0,0.005534355062991381
38.0,0.030262209475040436,0.005321417469531298,0.38,3.054083208553493e-06,0.9999988675117493,0.0,0.004720607772469521
39.0,0.03007984720170498,0.005096313077956438,0.39,3.440626414885628e-06,0.9999985694885254,0.0,0.0039894008077681065
40.0,0.02949187159538269,0.005913363769650459,0.4,4.2445781218702905e-06,0.9999983310699463,0.0,0.0037953162100166082
41.0,0.02908855304121971,0.007721040863543749,0.41,5.834225248690927e-06,0.9999970197677612,0.0,0.004371308255940676
42.0,0.02867903560400009,0.008502892218530178,0.42,9.223858796758577e-06,0.9999980926513672,0.0,0.0058512939140200615
43.0,0.027973568066954613,0.006848215591162443,0.43,1.6849500752869062e-05,0.999992847442627,0.0,0.006502173375338316
44.0,0.027631811797618866,0.005586813669651747,0.44,3.441742228460498e-05,0.999989926815033,0.0,0.005335562396794558
45.0,0.02715843915939331,0.006027798168361187,0.45,9.896506526274607e-05,0.9999847412109375,0.0,0.004475492052733898
46.0,0.02643379382789135,0.006240577902644873,0.46,0.00041748135117813945,0.9999868869781494,0.0,0.0052079372107982635
47.0,0.025799069553613663,0.002640938851982355,0.47,0.002744946861639619,0.9999673366546631,0.0,0.006348990835249424
48.0,0.025082498788833618,0.004956807475537062,0.48,0.013873283751308918,0.9999686479568481,0.0,0.004460385534912348
49.0,0.02480272203683853,0.0003763069398701191,0.49,0.023129034787416458,0.9998127222061157,0.0,0.008518677204847336
50.0,0.025676624849438667,0.003050491912290454,0.5,0.05036657303571701,0.9995706081390381,0.0,0.0017651868984103203
51.0,0.02310090698301792,0.0020583870355039835,0.51,0.04454505071043968,0.9997107982635498,0.0,0.0077440170571208
52.0,0.022210631519556046,0.0007222984568215907,0.52,0.04101342335343361,0.9997716546058655,0.0,0.006004888564348221
53.0,0.022100402042269707,0.004205337259918451,0.53,0.04263156279921532,0.9997033476829529,0.0,0.003088221652433276
54.0,0.02282525971531868,0.00015481407172046602,0.54,0.04474673792719841,0.9991093277931213,0.0,0.011182504706084728
55.0,0.02610452100634575,0.000346087064826861,0.55,0.03746257722377777,0.9991220235824585,0.0,0.0007915324531495571
56.0,0.024103721603751183,0.0041579329408705235,0.56,0.02203734591603279,0.9992783069610596,0.0,0.0012593658175319433
57.0,0.02085217647254467,0.005247397813946009,0.57,0.013363535515964031,0.9979809522628784,0.0,0.00961942970752716
58.0,0.02143261767923832,0.0009623715886846185,0.58,0.010828818194568157,0.9985775947570801,0.0,0.011110251769423485
59.0,0.021258564665913582,0.0006375332013703883,0.59,0.00833679735660553,0.9991899132728577,0.0,0.0022701702546328306
60.0,0.02222544141113758,0.0016643565613776445,0.6,0.009279479272663593,0.9992620944976807,0.0,0.0015679231146350503
61.0,0.018104370683431625,0.006446178536862135,0.61,0.012684453278779984,0.9963638186454773,0.0,0.004379690159112215
62.0,0.023418676108121872,0.0004782655159942806,0.62,0.021983450278639793,0.995585024356842,0.0,0.016979560256004333
63.0,0.02027706615626812,0.00022592405730392784,0.63,0.025965606793761253,0.999050498008728,0.0,0.0016037046443670988
64.0,0.024029327556490898,0.0005443930276669562,0.64,0.027331210672855377,0.9989454746246338,0.0,0.0006894485559314489
65.0,0.018542056903243065,0.0049892147071659565,0.65,0.023094194009900093,0.9975653886795044,0.0,0.0017355229938402772
66.0,0.01938059739768505,0.002395342104136944,0.66,0.02165456861257553,0.9927907586097717,0.0,0.013844422996044159
67.0,0.01482795737683773,0.0007569481967948377,0.67,0.016774451360106468,0.9950056672096252,0.0,0.0066507840529084206
68.0,0.016157515347003937,0.0006898152059875429,0.68,0.016809973865747452,0.998096764087677,0.0,0.0021816627122461796
69.0,0.015031981281936169,0.0022339606657624245,0.69,0.023143362253904343,0.9981626868247986,0.0,0.0022091888822615147
70.0,0.012836217880249023,0.0013353163376450539,0.7,0.03859598562121391,0.9968782663345337,0.0,0.008093890734016895
71.0,0.01057685911655426,0.00023810970014892519,0.71,0.05989544838666916,0.9964845180511475,0.0,0.006062367931008339
72.0,0.012670250609517097,0.0009942585602402687,0.72,0.0896647721529007,0.9969171285629272,0.0,0.0013701660791411996
73.0,0.009312131442129612,0.0006305352435447276,0.73,0.12642906606197357,0.9940477013587952,0.0,0.005518272519111633
74.0,0.007903199642896652,0.00031670884345658123,0.74,0.14216166734695435,0.9936462640762329,0.0,0.003772219642996788
