policy,Priority,Robustness,Rapidity,Sustainability,TOPSIS_Score,TOPSIS_Rank
priority_with_reserve,0.3529572603633482,0.2778174307852796,0.049787068367863944,0.2673771348767361,0.9965776215716856,1
uniform_with_reserve,0.2778174307852796,0.2778174307852796,0.049787068367863944,0.2677740442136991,0.6390057420137707,2
priority_no_reserve,0.2207965071948286,0.2173643215671604,0.049787068367863944,0.21260558467236368,0.0,3
