scenario_id,timestamp,wind,pv,scenario_probability
0,2024-01-01 00:00:00,0.03536727557263317,0.298004987531172,0.03333333333333333
0,2024-01-01 01:00:00,0.06820068775604393,0.583840112657245,0.03333333333333333
0,2024-01-01 02:00:00,0.03978761863450661,0.7857512869802212,0.03333333333333333
0,2024-01-01 03:00:00,0.01506281893701475,0.9009659155230761,0.03333333333333333
0,2024-01-01 04:00:00,0.012870492217570889,0.9311858723277536,0.03333333333333333
0,2024-01-01 05:00:00,0.019600716683230435,0.8519476850203169,0.03333333333333333
0,2024-01-01 06:00:00,0.016253135677060854,0.6914089533969148,0.03333333333333333
0,2024-01-01 07:00:00,0.018926569053376058,0.4788248313200878,0.03333333333333333
0,2024-01-01 08:00:00,0.03246963786832019,0.23492695546897427,0.03333333333333333
0,2024-01-01 09:00:00,0.06401931920565354,0.029650827271360633,0.03333333333333333
0,2024-01-01 10:00:00,0.10240442647875536,0.0,0.03333333333333333
0,2024-01-01 11:00:00,0.12929854017011064,0.0,0.03333333333333333
0,2024-01-01 12:00:00,0.1412044210843706,0.0,0.03333333333333333
0,2024-01-01 13:00:00,0.08140524862249648,0.0,0.03333333333333333
0,2024-01-01 14:00:00,0.04346349989330181,0.0,0.03333333333333333
0,2024-01-01 15:00:00,0.00592954046302141,0.0,0.03333333333333333
0,2024-01-01 16:00:00,0.008040277124763129,0.0,0.03333333333333333
0,2024-01-01 17:00:00,0.00592954046302141,0.0,0.03333333333333333
0,2024-01-01 18:00:00,0.012250831949706664,0.0,0.03333333333333333
0,2024-01-01 19:00:00,0.01938780154262687,0.0,0.03333333333333333
0,2024-01-01 20:00:00,0.050365874056232524,0.0,0.03333333333333333
0,2024-01-01 21:00:00,0.06870431602279156,0.0,0.03333333333333333
0,2024-01-01 22:00:00,0.05543768028361343,0.0,0.03333333333333333
0,2024-01-01 23:00:00,0.05728883739497076,0.02613408698483763,0.03333333333333333
0,2024-01-02 00:00:00,0.06473971424439218,0.19701707144453942,0.03333333333333333
0,2024-01-02 01:00:00,0.10543452748429546,0.4093142256092953,0.03333333333333333
0,2024-01-02 02:00:00,0.1301589615864447,0.5104607788728496,0.03333333333333333
0,2024-01-02 03:00:00,0.0657617214681662,0.5704504449487305,0.03333333333333333
0,2024-01-02 04:00:00,0.01977590251405223,0.6675953636604406,0.03333333333333333
0,2024-01-02 05:00:00,0.00592954046302141,0.7108217271874937,0.03333333333333333
0,2024-01-02 06:00:00,0.03289596812372789,0.5651881392712003,0.03333333333333333
0,2024-01-02 07:00:00,0.04739468426828894,0.42979841659515194,0.03333333333333333
0,2024-01-02 08:00:00,0.06724030330712563,0.18343785040292324,0.03333333333333333
0,2024-01-02 09:00:00,0.13846686958581084,0.014614855243749838,0.03333333333333333
