scenario,expected_fail_lines,probability
S1,4,0.076667
S2,6,0.073
S3,5,0.072
S4,3,0.070667
S5,8,0.065667
S6,7,0.065
S7,2,0.062667
S8,9,0.057667
S9,10,0.052333
S10,1,0.050667
S11,11,0.048
S12,12,0.041667
S13,13,0.037
S14,0,0.033667
S15,14,0.030667
S16,15,0.025333
S17,16,0.020333
S18,17,0.018667
S19,18,0.015667
S20,19,0.013
S21,20,0.010667
S22,21,0.009333
S23,23,0.008667
S24,24,0.007667
S25,22,0.006
S26,26,0.006
S27,25,0.004
S28,27,0.003667
S29,30,0.002667
S30,28,0.002
S31,29,0.002
S32,32,0.001333
S33,31,0.001
S34,34,0.001
S35,33,0.000667
S36,35,0.000667
S37,36,0.000667
S38,37,0.000667
S39,38,0.000667
S40,40,0.000333
