scenario_id,total_shed,weighted_shed_cost,critical_shed,total_demand,outage_lines_avg,outage_lines_max,policy
0,4.782625699671821,129.63891698912363,1.23447209682679,6.941574858760619,3.0,15,priority_with_reserve
1,4.782625699671821,129.63891698912363,1.23447209682679,6.941574858760619,3.1666666666666665,15,priority_with_reserve
2,4.813424892238824,131.10759274284035,1.264131317240332,6.941574858760619,3.0,15,priority_with_reserve
3,4.884405531715087,134.9207737164269,1.3492604490601212,6.941574858760619,3.3333333333333335,15,priority_with_reserve
4,4.813424892238824,131.10759274284035,1.264131317240332,6.941574858760619,3.0,15,priority_with_reserve
5,4.884405531715087,134.23486043481506,1.3218239177956481,6.941574858760619,3.1666666666666665,15,priority_with_reserve
6,4.772417899316726,129.1445141932054,1.2241074269558645,6.941574858760619,3.1666666666666665,15,priority_with_reserve
7,4.772417899316726,129.9826843141612,1.2576342317940963,6.941574858760619,3.3333333333333335,15,priority_with_reserve
8,4.772417899316726,129.1445141932054,1.2241074269558645,6.941574858760619,3.3333333333333335,15,priority_with_reserve
9,4.772417899316726,129.1445141932054,1.2241074269558645,6.941574858760619,3.1666666666666665,15,priority_with_reserve
10,4.813424892238824,131.10759274284038,1.264131317240332,6.941574858760619,3.1666666666666665,15,priority_with_reserve
11,4.884405531715087,134.23486043481506,1.3218239177956481,6.941574858760619,3.1666666666666665,15,priority_with_reserve
12,4.772417899316726,129.9826843141612,1.2576342317940963,6.941574858760619,3.3333333333333335,15,priority_with_reserve
13,4.813424892238824,131.10759274284038,1.264131317240332,6.941574858760619,3.1666666666666665,15,priority_with_reserve
14,4.813424892238824,131.10759274284035,1.264131317240332,6.941574858760619,3.0,15,priority_with_reserve
15,4.772417899316726,129.1445141932054,1.2241074269558645,6.941574858760619,3.1666666666666665,15,priority_with_reserve
16,4.884405531715087,134.23486043481506,1.3218239177956481,6.941574858760619,3.1666666666666665,15,priority_with_reserve
17,4.782625699671821,129.63891698912363,1.23447209682679,6.941574858760619,3.1666666666666665,15,priority_with_reserve
18,4.782625699671821,129.63891698912363,1.23447209682679,6.941574858760619,3.0,15,priority_with_reserve
19,4.813424892238824,131.10759274284038,1.264131317240332,6.941574858760619,3.1666666666666665,15,priority_with_reserve
20,4.813424892238824,131.10759274284038,1.264131317240332,6.941574858760619,3.1666666666666665,15,priority_with_reserve
21,4.884405531715087,134.23486043481506,1.3218239177956481,6.941574858760619,3.1666666666666665,15,priority_with_reserve
22,4.782625699671821,129.63891698912363,1.23447209682679,6.941574858760619,3.1666666666666665,15,priority_with_reserve
23,4.884405531715087,134.23486043481506,1.3218239177956481,6.941574858760619,3.0,15,priority_with_reserve
24,4.884405531715087,134.23486043481506,1.3218239177956481,6.941574858760619,3.1666666666666665,15,priority_with_reserve
25,4.884405531715087,134.23486043481506,1.3218239177956481,6.941574858760619,3.1666666666666665,15,priority_with_reserve
26,4.813424892238824,131.88306933326703,1.295150380857398,6.941574858760619,3.1666666666666665,15,priority_with_reserve
27,4.884405531715087,134.23486043481506,1.3218239177956481,6.941574858760619,3.1666666666666665,15,priority_with_reserve
28,4.884405531715087,134.23486043481506,1.3218239177956481,6.941574858760619,3.1666666666666665,15,priority_with_reserve
29,4.772417899316726,129.9826843141612,1.2576342317940963,6.941574858760619,3.1666666666666665,15,priority_with_reserve
30,4.813424892238824,131.10759274284035,1.264131317240332,6.941574858760619,3.0,15,priority_with_reserve
31,4.782625699671821,130.45717815034715,1.2672025432757303,6.941574858760619,3.3333333333333335,15,priority_with_reserve
32,4.884405531715087,134.23486043481506,1.3218239177956481,6.941574858760619,3.1666666666666665,15,priority_with_reserve
33,4.772417899316726,129.1445141932054,1.2241074269558645,6.941574858760619,3.0,15,priority_with_reserve
34,4.772417899316726,129.1445141932054,1.2241074269558645,6.941574858760619,3.0,15,priority_with_reserve
35,4.782625699671821,129.63891698912363,1.23447209682679,6.941574858760619,3.1666666666666665,15,priority_with_reserve
36,4.884405531715087,134.9207737164269,1.3492604490601212,6.941574858760619,3.3333333333333335,15,priority_with_reserve
37,4.782625699671821,129.63891698912363,1.23447209682679,6.941574858760619,3.1666666666666665,15,priority_with_reserve
38,4.884405531715087,134.23486043481506,1.3218239177956481,6.941574858760619,3.0,15,priority_with_reserve
39,4.813424892238824,131.10759274284035,1.264131317240332,6.941574858760619,3.0,15,priority_with_reserve
40,4.772417899316726,129.1445141932054,1.2241074269558645,6.941574858760619,3.0,15,priority_with_reserve
41,4.782625699671821,129.63891698912363,1.23447209682679,6.941574858760619,3.0,15,priority_with_reserve
42,4.813424892238824,131.10759274284038,1.264131317240332,6.941574858760619,3.1666666666666665,15,priority_with_reserve
43,4.772417899316726,129.1445141932054,1.2241074269558645,6.941574858760619,3.1666666666666665,15,priority_with_reserve
44,4.772417899316726,129.1445141932054,1.2241074269558645,6.941574858760619,3.1666666666666665,15,priority_with_reserve
45,4.813424892238824,131.88306933326703,1.295150380857398,6.941574858760619,3.3333333333333335,15,priority_with_reserve
46,4.782625699671821,130.45717815034715,1.2672025432757303,6.941574858760619,3.1666666666666665,15,priority_with_reserve
47,4.782625699671821,129.63891698912363,1.23447209682679,6.941574858760619,3.1666666666666665,15,priority_with_reserve
48,4.772417899316726,129.1445141932054,1.2241074269558645,6.941574858760619,3.1666666666666665,15,priority_with_reserve
49,4.772417899316726,129.9826843141612,1.2576342317940963,6.941574858760619,3.3333333333333335,15,priority_with_reserve
50,4.884405531715087,134.23486043481506,1.3218239177956481,6.941574858760619,3.1666666666666665,15,priority_with_reserve
51,4.772417899316726,129.1445141932054,1.2241074269558645,6.941574858760619,3.1666666666666665,15,priority_with_reserve
52,4.813424892238824,131.10759274284038,1.264131317240332,6.941574858760619,3.1666666666666665,15,priority_with_reserve
53,4.813424892238824,131.10759274284038,1.264131317240332,6.941574858760619,3.1666666666666665,15,priority_with_reserve
54,4.813424892238824,131.10759274284038,1.264131317240332,6.941574858760619,3.1666666666666665,15,priority_with_reserve
55,4.782625699671821,129.63891698912363,1.23447209682679,6.941574858760619,3.1666666666666665,15,priority_with_reserve
56,4.782625699671821,130.45717815034715,1.2672025432757303,6.941574858760619,3.3333333333333335,15,priority_with_reserve
57,4.884405531715087,134.23486043481506,1.3218239177956481,6.941574858760619,3.1666666666666665,15,priority_with_reserve
58,4.813424892238824,131.10759274284038,1.264131317240332,6.941574858760619,3.1666666666666665,15,priority_with_reserve
