scenario,expected_fail_lines,probability
S1,1,0.247
S2,0,0.236
S3,2,0.198
S4,3,0.131333
S5,4,0.079
S6,5,0.053333
S7,6,0.029
S8,7,0.015
S9,8,0.006667
S10,9,0.004333
S11,10,0.000333
