scenario,expected_fail_lines,probability
S1,1,0.238333
S2,0,0.222333
S3,2,0.186
S4,3,0.148667
S5,4,0.091333
S6,5,0.052667
S7,6,0.034667
S8,7,0.015333
S9,8,0.006333
S10,9,0.003667
S11,11,0.000333
S12,12,0.000333
